"Date","Noncommercial Positions-Net (All)","Name","Unit"
"2018-01-02",-20026,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2018-01-09",5458,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2018-01-16",10074,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2018-01-23",16679,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2018-01-30",13151,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2018-02-06",13748,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2018-02-13",9081,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2018-02-20",11875,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2018-02-27",9574,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2018-03-06",3135,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2018-03-13",-779,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2018-03-20",17925,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2018-03-27",8074,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2018-04-03",-75,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2018-04-10",-2796,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2018-04-17",-10155,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2018-04-24",-3396,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2018-05-01",-5672,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2018-05-08",-16766,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2018-05-15",-23106,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2018-05-22",-21112,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2018-05-29",-23235,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2018-06-05",-20208,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2018-06-12",-15235,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2018-06-19",-43099,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2018-06-26",-40978,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2018-07-03",-39230,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2018-07-10",-40973,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2018-07-17",-40525,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2018-07-24",-45486,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2018-07-31",-51476,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2018-08-07",-54540,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2018-08-14",-51783,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2018-08-21",-50207,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2018-08-28",-44633,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2018-09-04",-44031,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
"2018-09-11",-44312,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF AUD 100,000)"
