"Date","Noncommercial Positions-Net (All)","Name","Unit"
"2018-01-02",624213,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 1,000 BARRELS)"
"2018-01-09",657590,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 1,000 BARRELS)"
"2018-01-16",707787,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 1,000 BARRELS)"
"2018-01-23",716695,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 1,000 BARRELS)"
"2018-01-30",734558,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 1,000 BARRELS)"
"2018-02-06",739097,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 1,000 BARRELS)"
"2018-02-13",712261,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 1,000 BARRELS)"
"2018-02-20",689366,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 1,000 BARRELS)"
"2018-02-27",704104,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 1,000 BARRELS)"
"2018-03-06",686507,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 1,000 BARRELS)"
"2018-03-13",668533,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 1,000 BARRELS)"
"2018-03-20",703708,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 1,000 BARRELS)"
"2018-03-27",715770,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 1,000 BARRELS)"
"2018-04-03",699545,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 1,000 BARRELS)"
"2018-04-10",707080,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 1,000 BARRELS)"
