"Date","Noncommercial Positions-Net (All)","Name","Unit"
"2018-01-02",127868,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-01-09",144691,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-01-16",139490,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-01-23",144717,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-01-30",148742,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-02-06",140823,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-02-13",127289,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-02-20",126126,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-02-27",137977,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-03-06",132972,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-03-13",146380,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-03-20",132739,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-03-27",141064,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-04-03",134381,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-04-10",147463,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-04-17",151476,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-04-24",130594,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-05-01",120568,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-05-08",120505,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-05-15",115114,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-05-22",109744,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-05-29",93037,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-06-05",89236,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-06-12",88225,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-06-19",36118,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-06-26",33904,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-07-03",36747,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-07-10",24357,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-07-17",21407,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-07-24",29640,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-07-31",22825,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-08-07",10565,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-08-14",-1789,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-08-21",-4841,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-08-28",-7219,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-09-04",7963,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-09-11",11170,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-09-18",1666,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-09-25",3696,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-10-02",-7101,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-10-09",-16142,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-10-16",-29344,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2018-10-23",-30304,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
