"Date","Noncommercial Positions-Net (All)","Name","Unit"
"2018-01-02",27037,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-01-09",27614,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-01-16",26786,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-01-23",25663,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-01-30",23731,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-02-06",19527,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-02-13",15891,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-02-20",16631,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-02-27",16983,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-03-06",14295,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-03-13",13080,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-03-20",12341,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-03-27",12047,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-04-03",10217,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-04-10",8160,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-04-17",10548,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-04-24",10961,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-05-01",10765,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-05-08",10296,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-05-15",10684,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-05-22",10715,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-05-29",9993,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-06-05",11575,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-06-12",13362,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-06-19",11064,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-06-26",8591,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-07-03",8871,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-07-10",7568,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-07-17",5353,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-07-24",3447,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-07-31",4596,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-08-07",3542,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-08-14",2011,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-08-21",982,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-08-28",3884,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-09-04",5963,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-09-11",6487,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-09-18",7008,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-09-25",9690,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-10-02",10112,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-10-09",11361,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-10-16",11526,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-10-23",13251,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-10-30",12143,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-11-06",13249,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-11-13",13380,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
"2018-11-20",14264,"PALLADIUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 100 TROY OUNCES)"
