"Date","Noncommercial Positions-Net (All)","Name","Unit"
"2019-01-08",11986,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2019-01-15",7729,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2019-01-22",2435,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2019-01-29",4617,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2019-02-05",5994,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2019-02-12",-1606,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2019-02-19",1547,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2019-02-26",15745,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2019-03-05",21463,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2019-03-12",16348,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2019-03-19",17581,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2019-03-26",24207,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2019-04-02",23355,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2019-04-09",31844,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2019-04-16",31111,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2019-04-23",31080,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2019-04-30",33322,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2019-05-07",28693,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2019-05-14",25750,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2019-05-21",15490,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2019-05-28",7891,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2019-06-04",7069,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2019-06-11",6952,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2019-06-18",1970,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2019-06-25",1986,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
"2019-07-02",9297,"PLATINUM - NEW YORK MERCANTILE EXCHANGE","(CONTRACTS OF 50 TROY OUNCES)"
