"Date","Noncommercial Positions-Net (All)","Name","Unit"
"2019-01-08",-30652,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-01-15",-25473,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-01-22",-21036,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-01-29",-16830,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-02-05",-33779,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-02-12",-26678,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-02-19",1368,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-02-26",-34702,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-03-05",-30237,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-03-12",-22600,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-03-19",-30218,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-03-26",-17955,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-04-02",-18958,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-04-09",-25332,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-04-16",-24589,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-04-23",-40045,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-04-30",-38071,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-05-07",-35025,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-05-14",-45943,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-05-21",-44010,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-05-28",-9331,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-06-04",-9512,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-06-11",18189,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-06-18",18290,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-06-25",16190,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-07-02",635,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-07-09",-11188,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-07-16",-21747,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-07-23",-41646,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-07-30",-32525,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-08-06",-56273,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-08-13",-67301,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-08-20",-65076,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-08-27",-51131,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-09-03",-67243,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-09-10",-51743,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-09-17",-46240,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-09-24",-58314,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-10-01",-72037,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-10-08",-76699,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-10-15",-56614,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-10-22",-46269,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-10-29",-23123,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-11-05",-54567,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-11-12",-45397,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-11-19",-47732,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-11-26",-71388,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
"2019-12-03",-90445,"U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE","(CONTRACTS OF $100,000 FACE VALUE)"
