"産業","現金給与総額(円)","現金給与総額:きまって支給する給与(円)","現金給与総額:きまって支給する給与:所定内給与(円)"
"調査産業計",275022,264381,246397
"鉱業，採石業等",327104,324487,294787
"建設業",366313,343588,317960
"製造業",315445,305843,279265
"電気・ガス業",468588,436741,381886
"情報通信業",419652,391349,359196
"運輸業，郵便業",302773,295195,252837
"卸売業，小売業",251674,237418,225453
"金融業，保険業",390603,374651,344742
"不動産・物品賃貸業",302909,288783,271859
"学術研究等",399805,381032,354944
"飲食サービス業等",107770,106243,102130
"生活関連サービス等",186697,181712,175969
"教育，学習支援業",308435,301520,295302
"医療，福祉",261458,253834,240680
"複合サービス事業",305224,285703,267387
"その他のサービス業",233282,227670,211951
" Source:厚生労働省",,,
"毎月勤労統計調査 月間現金給与額",,,
