"","耕種農業","畜産","農業サービス","林業","漁業","石炭･原油･天然ガス","その他の鉱業","食料品","飲料","飼料･有機質肥料(別掲を除く。)","たばこ","繊維工業製品","衣服･その他の繊維既製品","木材･木製品","家具･装備品","パルプ･紙･板紙･加工紙","紙加工品","印刷･製版･製本","化学肥料","無機化学工業製品","石油化学系基礎製品","有機化学工業製品(石油化学系基礎製品･合成樹脂を除く。)","合成樹脂","化学繊維","医薬品","化学最終製品(医薬品を除く。)","石油製品","石炭製品","プラスチック製品","ゴム製品","なめし革･革製品･毛皮","ガラス･ガラス製品","セメント･セメント製品","陶磁器","その他の窯業･土石製品","銑鉄･粗鋼","鋼材","鋳鍛造品(鉄)","その他の鉄鋼製品","非鉄金属製錬･精製","非鉄金属加工製品","建設用･建築用金属製品","その他の金属製品","はん用機械","生産用機械","業務用機械","電子デバイス","その他の電子部品","産業用電気機器","民生用電気機器","電子応用装置･電気計測器","その他の電気機械","通信･映像･音響機器","電子計算機･同附属装置","乗用車","その他の自動車","自動車部品･同附属品","船舶･同修理","その他の輸送機械･同修理","その他の製造工業製品","再生資源回収･加工処理","建築","建設補修","公共事業","その他の土木建設","電力","ガス･熱供給","水道","廃棄物処理","商業","金融･保険","不動産仲介及び賃貸","住宅賃貸料","住宅賃貸料(帰属家賃)","鉄道輸送","道路輸送(自家輸送を除く。)","自家輸送","水運","航空輸送","貨物利用運送","倉庫","運輸附帯サービス","郵便･信書便","通信","放送","情報サービス","インターネット附随サービス","映像･音声･文字情報制作","公務","教育","研究","医療","保健衛生","社会保険･社会福祉","介護","他に分類されない会員制団体","物品賃貸サービス","広告","自動車整備･機械修理","その他の対事業所サービス","宿泊業","飲食サービス","洗濯･理容･美容･浴場業","娯楽サービス","その他の対個人サービス","事務用品","分類不明"
"耕種農業",0.035471,0.081621,0.006999,0.002262,0,0,0,0.107584,0.045249,0.277922,0.038902,0.016135,0.001679,0.000047,0,0.000746,0.000014,0,0,0,0,0.000099,0,0.001645,0.004167,0.00052,0,0,0,0.049198,0,0,0,0,0.000529,0,0,0,0,0,0.000022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003504,0,0.000705,0.000008,0.00231,0.001481,0,0,0,0,0.000119,0,0.000001,0,0.000003,0,0,0,0,0,0,0,0.000229,0,0,0,0,0,0,0.000031,0.001835,0,0.0011,0,0.003231,0.005128,0.002079,0.000079,0,0,0.000001,0.011057,0.023272,0.000073,0.003019,0.005786,0,0
"畜産",0.007382,0.094863,0.018473,0.000015,0,0,0,0.093996,0,0.00121,0,0.001403,0.000431,0,0,0,0,0,0.00063,0,0,0,0,0,0.000017,0,0,0,0,0,0.018093,0,0,0.000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000029,0,0,0,0,0,0,0.000003,0.000223,0.001539,0.000147,0,0.00049,0.000923,0,0,0,0,0,0.001822,0.005974,0,0.000003,0.000217,0,0
"農業サービス",0.054925,0.043772,0,0.000026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00033,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001179,0,0,0
"林業",0.00027,0,0,0.127016,0.000157,0.000222,0.000032,0.000491,0,0.000176,0,0.000022,0,0.148554,0.00002,0.00036,0.000001,0,0,0.000311,0,0,0,0,0,0.000753,0,0,0,0,0.004238,0,0,0.000001,0,0,0,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000005,0,0.000383,0,0.000012,0.000044,0.000108,0.00003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000004,0.000079,0,0.000011,0,0.000127,0.000235,0,0,0,0,0,0.001036,0.001873,0,0,0.000126,0,0
"漁業",0,0,0,0,0.040137,0,0,0.03874,0,0.001853,0,0.000002,0,0,0,0,0,0,0.000051,0,0,0,0,0,0.000142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000027,0,0,0,0,0,0,0.000006,0.000086,0,0.000263,0,0.000766,0.001678,0,0,0,0,0,0.003875,0.006623,0,0.000029,0.000444,0,0
"石炭･原油･天然ガス",0,0.000027,0,0.000094,0,0.001254,0,0.000311,0.000163,0.000502,0.000045,0.000804,0.000088,0.000005,0,0.010488,0.000182,0,0.086165,0.001939,0.000424,0.005646,0.000956,0.014417,0.000185,0.000384,0.589703,0.523045,0.00003,0.000231,0.000087,0.005486,0.019318,0.0131,0.006327,0.006545,0.002958,0.00109,0.000014,0.001606,0.000415,0.000076,0.000291,0.000052,0.000028,0.000001,0.000075,0.000256,0.000072,0,0,0.000057,0,0.000085,0.000044,0.000003,0.000182,0,0.000038,0.000037,0.000244,0.000001,0.000001,0.000011,0.000007,0.285191,0.423552,0,0.000002,0.000003,0.000001,0.000005,0,0,0.000021,0,0,0.000001,0,0.000142,0.000008,0.000017,0,0,0.000001,0,0,0.000002,0,0.000005,0.000087,0.000009,0,0.000004,0.000015,0.000064,0.000062,0,0.000001,0,0.000088,0.000001,0.000115,0.000012,0.000001,0,0
"その他の鉱業",0,0,0,0.000299,0,0,0.001918,0.000003,0,0.00024,0,0.000002,0,0.000001,0,0.001913,0.000009,0,0.004108,0.027242,-0.00002,0.000167,0.000086,0,0.00008,0.000156,-0.001203,0.019215,0,0.000185,0.000047,0.050263,0.062145,0.041249,0.042138,0.135829,0,0.000325,0,0.360784,0.000049,0.000083,0.00002,0.000008,0.000028,0.000054,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001128,0,0.002177,0.000264,0.01566,0.014973,-0.000011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000011,0,0,0,0,0,0,0,0,0,0,0,-0.000049,-0.000029,0,0.000033,0.000088,0,0.000221
"食料品",0,0.014714,0,0.018258,0.034585,0,0,0.202165,0.069378,0.265654,0.000116,0.000394,0.0035,0.001289,0,0.003913,0.000035,0,0.000141,0.000269,0,0.003117,0.00008,0,0.010173,0.015726,0.000005,0,0.00002,0.000002,0.06012,0.000147,0,0.000849,0.0013,0,0,0.000012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000547,0,0,0,0,0,0.000001,0.000298,0.006556,0,0.004032,0,0.011707,0.021639,0.001408,0,0,0,0,0.048698,0.168618,0,0.000036,0.005942,0,0
"飲料",0,0.000229,0.000038,0,0.012885,0,0,0.001881,0.053377,0,0,0,0,0,0,0,0,0,0,0,0,0.000006,0,0,0.000051,0.000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000099,0,0,0,0,0,0,0,0,0,0,0,0.000581,0,0,0,0,0,0.000001,0.000025,0.000099,0,0.000491,0,0.00129,0.002424,0,0,0,0,0.000009,0.023561,0.077347,0,0.000001,0.00151,0,0.003053
"飼料･有機質肥料(別掲を除く。)",0.007859,0.332644,0.018425,0.010146,0.049288,0,0,-0.000003,0,0.04555,0,-0.000003,0,0,0,0,0,0,0.000375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000124,0,0,0,0,0,0.000042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000314,0.003768,0.00004,0,0.000058,0.000023,0,0,0,0,0,0,0,0,0.001178,0,0,0
