"","耕種農業","畜産","農業サービス","林業","漁業","石炭･原油･天然ガス","その他の鉱業","食料品","飲料","飼料･有機質肥料(別掲を除く。)","たばこ","繊維工業製品","衣服･その他の繊維既製品","木材･木製品","家具･装備品","パルプ･紙･板紙･加工紙","紙加工品","印刷･製版･製本","化学肥料","無機化学工業製品","石油化学系基礎製品","有機化学工業製品(石油化学系基礎製品･合成樹脂を除く。)","合成樹脂","化学繊維","医薬品","化学最終製品(医薬品を除く。)","石油製品","石炭製品","プラスチック製品","ゴム製品","なめし革･革製品･毛皮","ガラス･ガラス製品","セメント･セメント製品","陶磁器","その他の窯業･土石製品","銑鉄･粗鋼","鋼材","鋳鍛造品(鉄)","その他の鉄鋼製品","非鉄金属製錬･精製","非鉄金属加工製品","建設用･建築用金属製品","その他の金属製品","はん用機械","生産用機械","業務用機械","電子デバイス","その他の電子部品","産業用電気機器","民生用電気機器","電子応用装置･電気計測器","その他の電気機械","通信･映像･音響機器","電子計算機･同附属装置","乗用車","その他の自動車","自動車部品･同附属品","船舶･同修理","その他の輸送機械･同修理","その他の製造工業製品","再生資源回収･加工処理","建築","建設補修","公共事業","その他の土木建設","電力","ガス･熱供給","水道","廃棄物処理","商業","金融･保険","不動産仲介及び賃貸","住宅賃貸料","住宅賃貸料(帰属家賃)","鉄道輸送","道路輸送(自家輸送を除く。)","自家輸送","水運","航空輸送","貨物利用運送","倉庫","運輸附帯サービス","郵便･信書便","通信","放送","情報サービス","インターネット附随サービス","映像･音声･文字情報制作","公務","教育","研究","医療","保健衛生","社会保険･社会福祉","介護","他に分類されない会員制団体","物品賃貸サービス","広告","自動車整備･機械修理","その他の対事業所サービス","宿泊業","飲食サービス","洗濯･理容･美容･浴場業","娯楽サービス","その他の対個人サービス","事務用品","分類不明"
"耕種農業",1.043066,0.227039,0.018905,0.010596,0.02571,0.000578,0.000787,0.169013,0.062465,0.351234,0.040698,0.022356,0.008615,0.002645,0.001009,0.002823,0.001303,0.000691,0.00088,0.0005,0.000433,0.001389,0.000784,0.00263,0.006766,0.004152,0.000384,0.000519,0.000486,0.054503,0.020597,0.000487,0.000447,0.000662,0.001388,0.000403,0.00038,0.00038,0.000292,0.000478,0.000451,0.000472,0.000313,0.000769,0.001178,0.001048,0.000663,0.000455,0.000906,0.000892,0.000453,0.000569,0.000795,0.00054,0.001942,0.002477,0.001742,0.001063,0.001024,0.005783,0.000561,0.001231,0.000494,0.002929,0.002101,0.000382,0.000442,0.000368,0.000905,0.000339,0.000149,0.000086,0.000063,0.000025,0.000235,0.0003,0.001281,0.000465,0.000507,0.000216,0.000203,0.000606,0.000144,0.000272,0.000496,0.000267,0.000384,0.000677,0.000363,0.003473,0.002031,0.003473,0.000453,0.006035,0.009999,0.003184,0.000615,0.000452,0.002856,0.00018,0.023093,0.059752,0.00047,0.004117,0.007601,0.002753,0.000505
"畜産",0.010399,1.124406,0.021743,0.003376,0.007241,0.000044,0.000179,0.134294,0.01039,0.041869,0.000443,0.002419,0.001757,0.000966,0.000292,0.000989,0.000383,0.000245,0.000996,0.000159,0.000063,0.000698,0.000328,0.000331,0.001624,0.002591,0.000032,0.000075,0.000155,0.000738,0.034333,0.000125,0.000068,0.000255,0.000319,0.000063,0.000054,0.000071,0.000041,0.000095,0.000083,0.000071,0.000054,0.000053,0.000068,0.000155,0.000088,0.000099,0.00008,0.00009,0.000076,0.00009,0.000096,0.000082,0.000115,0.000123,0.00011,0.000106,0.000067,0.001029,0.000037,0.000134,0.0001,0.00008,0.000075,0.000036,0.000163,0.000049,0.000056,0.00004,0.000033,0.000016,0.000012,0.000005,0.000045,0.000026,0.000075,0.000053,0.000078,0.000027,0.000031,0.000165,0.000039,0.000167,0.000084,0.000051,0.000131,0.000155,0.000084,0.001276,0.001982,0.001111,0.000101,0.002292,0.004239,0.000366,0.000074,0.000101,0.000097,0.000043,0.009515,0.030711,0.000127,0.000184,0.001233,0.000493,0.000129
"農業サービス",0.057746,0.061688,1.001991,0.00076,0.00173,0.000034,0.000052,0.015162,0.003887,0.021125,0.002256,0.001334,0.000551,0.000194,0.00007,0.0002,0.000089,0.000049,0.000093,0.000035,0.000027,0.000108,0.000058,0.00016,0.000445,0.000344,0.000023,0.000032,0.000034,0.003027,0.002635,0.000033,0.000028,0.000049,0.000091,0.000025,0.000024,0.000025,0.000018,0.000031,0.000029,0.00003,0.00002,0.000045,0.000068,0.000065,0.000041,0.000031,0.000054,0.000055,0.000029,0.000036,0.00005,0.000034,0.000113,0.000142,0.000101,0.000064,0.00006,0.000365,0.000033,0.000075,0.000032,0.000165,0.000119,0.000023,0.000032,0.000023,0.000053,0.000021,0.000011,0.000006,0.000005,0.000002,0.000018,0.000018,0.000075,0.000029,0.000032,0.000014,0.000013,0.000042,0.00001,0.000027,0.000094,0.00002,0.000045,0.000092,0.000024,0.000577,0.0002,0.00024,0.00003,0.000433,0.000735,0.000193,0.000038,0.000062,0.000162,0.000013,0.001689,0.004628,0.000033,0.001438,0.000475,0.000174,0.000036
"林業",0.000859,0.001763,0.000485,1.147073,0.000952,0.000654,0.00054,0.001507,0.000631,0.001849,0.00022,0.000549,0.000693,0.207316,0.02393,0.022206,0.006792,0.003294,0.000517,0.000888,0.000408,0.000449,0.000424,0.000986,0.000529,0.001681,0.000432,0.000509,0.000483,0.000425,0.006738,0.002095,0.000336,0.005899,0.001012,0.000337,0.000333,0.000436,0.000278,0.00038,0.000827,0.000592,0.000437,0.000314,0.000303,0.000757,0.000475,0.000862,0.000551,0.000555,0.000439,0.000582,0.000544,0.000512,0.000422,0.000492,0.000439,0.00119,0.00057,0.007709,0.000233,0.013914,0.004215,0.000753,0.001229,0.000926,0.000527,0.000431,0.000291,0.000406,0.00031,0.000135,0.000149,0.000074,0.00032,0.00019,0.000638,0.00045,0.000849,0.000273,0.000483,0.002156,0.000161,0.000357,0.000713,0.000479,0.000532,0.002086,0.000246,0.00036,0.000588,0.000296,0.000399,0.000656,0.000613,0.000825,0.000257,0.000873,0.000334,0.000311,0.001846,0.002954,0.00037,0.000536,0.000642,0.006154,0.000285
"漁業",0.000293,0.006982,0.000504,0.001297,1.044705,0.000052,0.000092,0.051632,0.003853,0.016509,0.000031,0.000126,0.000558,0.000409,0.000256,0.000402,0.000155,0.000109,0.000136,0.000078,0.000045,0.000292,0.000145,0.00013,0.000774,0.001017,0.000035,0.000056,0.000077,0.000096,0.004093,0.000109,0.000044,0.000173,0.000163,0.000039,0.000061,0.00008,0.000045,0.000053,0.000063,0.000045,0.00004,0.000039,0.000065,0.000084,0.000059,0.000079,0.000065,0.000054,0.000093,0.000063,0.000083,0.000068,0.000071,0.000072,0.000066,0.000067,0.000047,0.014771,0.000032,0.00009,0.000131,0.000094,0.000094,0.000036,0.000056,0.000053,0.000043,0.000038,0.000042,0.000022,0.000016,0.000005,0.00003,0.000025,0.000069,0.000043,0.000068,0.000034,0.000033,0.000104,0.000025,0.000081,0.000121,0.000149,0.000105,0.000225,0.000074,0.000541,0.000274,0.000685,0.000064,0.001538,0.003038,0.000218,0.000147,0.000145,0.000067,0.00009,0.006987,0.016142,0.000128,0.000185,0.000956,0.002299,0.000069
"石炭･原油･天然ガス",0.045713,0.034553,0.029067,0.024877,0.055627,1.044322,0.091218,0.036603,0.028043,0.039009,0.007852,0.073486,0.045444,0.031851,0.034426,0.096807,0.049822,0.037462,0.220895,0.109006,0.526536,0.228714,0.214667,0.136041,0.039903,0.084514,0.655249,0.653802,0.081313,0.064095,0.03271,0.07422,0.077802,0.086469,0.072473,0.114684,0.09837,0.095445,0.066243,0.07436,0.062713,0.046629,0.044407,0.033261,0.028992,0.031223,0.039375,0.03977,0.033356,0.034742,0.025808,0.041065,0.029517,0.029446,0.039865,0.040607,0.040945,0.044504,0.034021,0.03929,0.049448,0.028441,0.031058,0.048472,0.037375,0.376495,0.479534,0.038824,0.048074,0.023161,0.0099,0.011765,0.006546,0.00143,0.029352,0.045997,0.236092,0.089398,0.171071,0.024693,0.024795,0.012899,0.017315,0.013309,0.016979,0.012246,0.014218,0.025619,0.020853,0.017765,0.021281,0.019012,0.018182,0.019422,0.016581,0.017259,0.011792,0.020273,0.02821,0.00968,0.044053,0.035991,0.031976,0.029845,0.024714,0.049031,0.032073
"その他の鉱業",0.002291,0.001695,0.001334,0.001159,0.002671,0.003715,1.004652,0.002215,0.004665,0.002178,0.000375,0.002569,0.001977,0.002162,0.014655,0.005571,0.002555,0.002003,0.012624,0.05497,0.001653,0.005614,0.003976,0.003452,0.004381,0.009195,0.001154,0.02288,0.003683,0.005998,0.002493,0.060312,0.074283,0.060749,0.054739,0.229736,0.130579,0.048836,0.073392,0.440618,0.237383,0.050502,0.043651,0.028013,0.02118,0.023218,0.018087,0.036069,0.035882,0.025891,0.017669,0.046766,0.024573,0.016177,0.026622,0.02756,0.02914,0.032856,0.016206,0.017732,0.000903,0.016391,0.017627,0.027587,0.033733,0.002621,0.002402,0.00267,0.001384,0.000699,0.000469,0.000345,0.000395,0.000247,0.00152,0.000798,0.003632,0.001594,0.002907,0.000602,0.000898,0.001212,0.000339,0.000632,0.001223,0.000828,0.001006,0.001739,0.001298,0.000644,0.001628,0.001974,0.001764,0.000996,0.000812,0.001153,0.001919,0.00112,0.012269,0.000508,0.001345,0.001639,0.001342,0.001058,0.001231,0.006996,0.003425
"食料品",0.006081,0.153491,0.010475,0.031057,0.066108,0.000249,0.000917,1.276066,0.094208,0.357436,0.000568,0.002328,0.006059,0.008825,0.002157,0.009062,0.003243,0.002188,0.001061,0.001292,0.000474,0.006408,0.002946,0.002618,0.014704,0.024325,0.000193,0.000526,0.001307,0.001693,0.096251,0.00094,0.000462,0.001966,0.002732,0.000377,0.000321,0.000438,0.000241,0.000507,0.000497,0.000447,0.000378,0.000326,0.00037,0.000846,0.000538,0.000662,0.000526,0.000564,0.000469,0.000648,0.000597,0.000578,0.000721,0.000779,0.000717,0.000738,0.000422,0.006614,0.000192,0.001024,0.000712,0.00038,0.000388,0.000219,0.000608,0.000315,0.00033,0.000223,0.000204,0.000098,0.000076,0.00003,0.000256,0.000152,0.000428,0.00027,0.000496,0.000168,0.00021,0.001117,0.000175,0.000613,0.000529,0.000352,0.0006,0.001251,0.000591,0.00929,0.002195,0.008557,0.000722,0.016031,0.029608,0.002515,0.000371,0.000741,0.000528,0.000286,0.068758,0.225819,0.000939,0.000886,0.008418,0.003549,0.000778
"飲料",0.000072,0.000745,0.000104,0.000111,0.014419,0.000058,0.00009,0.003337,1.056672,0.001066,0.000055,0.000048,0.000067,0.000082,0.000054,0.00008,0.000055,0.000043,0.000042,0.000046,0.00004,0.000062,0.000047,0.000064,0.00013,0.000109,0.00004,0.000058,0.000042,0.000051,0.000309,0.000062,0.000067,0.000047,0.00007,0.000059,0.000054,0.000079,0.000069,0.000071,0.000076,0.000049,0.00005,0.000061,0.000053,0.000043,0.000035,0.000038,0.00005,0.000042,0.000034,0.000055,0.000039,0.000039,0.000043,0.000044,0.000044,0.000097,0.000062,0.000261,0.00006,0.000093,0.000101,0.00005,0.000063,0.000046,0.000048,0.000056,0.000089,0.000149,0.00003,0.000039,0.000015,0.000005,0.000071,0.000074,0.000134,0.000149,0.000231,0.000045,0.000034,0.000678,0.000022,0.000032,0.000066,0.000028,0.000044,0.000052,0.000048,0.000401,0.000058,0.000727,0.000066,0.001601,0.003118,0.000049,0.000042,0.000047,0.000045,0.000035,0.02642,0.08302,0.00005,0.000034,0.001681,0.000111,0.003272
"飼料･有機質肥料(別掲を除く。)",0.013385,0.395329,0.027113,0.013542,0.056733,0.000032,0.000085,0.051179,0.004424,1.066505,0.00054,0.001068,0.000736,0.002593,0.000386,0.000636,0.000234,0.000138,0.000854,0.000081,0.000035,0.000286,0.000142,0.000164,0.000683,0.001024,0.000023,0.000041,0.000074,0.000781,0.012477,0.00008,0.000037,0.000172,0.000148,0.000033,0.000032,0.00004,0.000027,0.000048,0.00005,0.000043,0.000033,0.000035,0.000046,0.000081,0.00005,0.000057,0.000051,0.000055,0.000045,0.000052,0.000057,0.000048,0.000073,0.000081,0.000069,0.000069,0.000046,0.001267,0.000024,0.000216,0.000097,0.000202,0.000068,0.000031,0.000073,0.000031,0.000035,0.00007,0.000021,0.00001,0.000008,0.000003,0.000027,0.000017,0.000056,0.000032,0.000048,0.000018,0.000021,0.000094,0.00002,0.000075,0.000117,0.000038,0.000081,0.000149,0.000041,0.000847,0.004683,0.000506,0.00005,0.001007,0.001764,0.000182,0.000044,0.000093,0.000074,0.000027,0.003928,0.01216,0.000064,0.001403,0.000563,0.000398,0.000061
