"","耕種農業","畜産","農業サービス","林業","漁業","石炭･原油･天然ガス","その他の鉱業","食料品","飲料","飼料･有機質肥料(別掲を除く。)","たばこ","繊維工業製品","衣服･その他の繊維既製品","木材･木製品","家具･装備品","パルプ･紙･板紙･加工紙","紙加工品","印刷･製版･製本","化学肥料","無機化学工業製品","石油化学系基礎製品","有機化学工業製品(石油化学系基礎製品･合成樹脂を除く。)","合成樹脂","化学繊維","医薬品","化学最終製品(医薬品を除く。)","石油製品","石炭製品","プラスチック製品","ゴム製品","なめし革･革製品･毛皮","ガラス･ガラス製品","セメント･セメント製品","陶磁器","その他の窯業･土石製品","銑鉄･粗鋼","鋼材","鋳鍛造品(鉄)","その他の鉄鋼製品","非鉄金属製錬･精製","非鉄金属加工製品","建設用･建築用金属製品","その他の金属製品","はん用機械","生産用機械","業務用機械","電子デバイス","その他の電子部品","産業用電気機器","民生用電気機器","電子応用装置･電気計測器","その他の電気機械","通信･映像･音響機器","電子計算機･同附属装置","乗用車","その他の自動車","自動車部品･同附属品","船舶･同修理","その他の輸送機械･同修理","その他の製造工業製品","再生資源回収･加工処理","建築","建設補修","公共事業","その他の土木建設","電力","ガス･熱供給","水道","廃棄物処理","商業","金融･保険","不動産仲介及び賃貸","住宅賃貸料","住宅賃貸料(帰属家賃)","鉄道輸送","道路輸送(自家輸送を除く。)","自家輸送","水運","航空輸送","貨物利用運送","倉庫","運輸附帯サービス","郵便･信書便","通信","放送","情報サービス","インターネット附随サービス","映像･音声･文字情報制作","公務","教育","研究","医療","保健衛生","社会保険･社会福祉","介護","他に分類されない会員制団体","物品賃貸サービス","広告","自動車整備･機械修理","その他の対事業所サービス","宿泊業","飲食サービス","洗濯･理容･美容･浴場業","娯楽サービス","その他の対個人サービス","事務用品","分類不明"
"耕種農業",1.027195,0.07921,0.007925,0.005007,0.00454,0.000034,0.000051,0.098141,0.022849,0.033204,0.017976,0.000242,0.000086,0.000766,0.00014,0.000749,0.00023,0.000147,0.000102,0.000078,0.000017,0.000398,0.000139,0.000132,0.000865,0.000856,0.000003,0.000021,0.00006,0.000075,0.000198,0.000068,0.000034,0.000128,0.000173,0.000015,0.000022,0.000032,0.000028,0.000012,0.000025,0.000032,0.000028,0.000031,0.00003,0.000042,0.000031,0.000041,0.000039,0.000037,0.000032,0.000039,0.000037,0.000035,0.00004,0.000043,0.000042,0.000049,0.000028,0.001902,0.000028,0.000798,0.000071,0.002413,0.001562,0.000015,0.000022,0.000045,0.000027,0.000132,0.000026,0.00002,0.000014,0.000008,0.000035,0.000026,0.000081,0.000025,0.000093,0.00003,0.000031,0.000321,0.000014,0.000034,0.000139,0.000053,0.00007,0.000188,0.000069,0.002478,0.000275,0.001617,0.000046,0.004236,0.00718,0.002112,0.000103,0.000126,0.000041,0.000037,0.015456,0.035599,0.000123,0.001827,0.005781,0.000399,0.000123
"畜産",0.00971,1.112528,0.018177,0.002747,0.004405,0.00001,0.000024,0.122167,0.007486,0.021844,0.000192,0.000308,0.000099,0.000533,0.000089,0.000613,0.000183,0.000118,0.000765,0.000069,0.000015,0.000481,0.000157,0.000139,0.000869,0.000993,0.000001,0.000012,0.000051,0.00007,0.000587,0.000051,0.000018,0.000119,0.000188,0.000004,0.000007,0.000015,0.000006,0.000005,0.000011,0.000015,0.000013,0.000012,0.000012,0.000024,0.000016,0.000024,0.000019,0.00002,0.000013,0.000022,0.000019,0.000019,0.000023,0.000027,0.000024,0.000029,0.000013,0.000116,0.000008,0.000048,0.000029,0.000037,0.000028,0.000005,0.000007,0.000013,0.000013,0.00001,0.000008,0.000005,0.000003,0.000001,0.000013,0.000008,0.000023,0.000009,0.000031,0.00001,0.000011,0.000115,0.000005,0.000011,0.000024,0.000015,0.000017,0.000063,0.000038,0.001091,0.001383,0.000754,0.000033,0.001836,0.003559,0.00021,0.000011,0.000036,0.000018,0.000011,0.007158,0.021938,0.000032,0.000082,0.000887,0.000156,0.000045
"農業サービス",0.056844,0.053049,1.001232,0.000426,0.000443,0.000003,0.000004,0.010739,0.001584,0.00278,0.000996,0.000027,0.00001,0.000069,0.000012,0.000069,0.000021,0.000014,0.00004,0.000008,0.000002,0.000043,0.000015,0.000014,0.000087,0.000092,0,0.000002,0.000006,0.000008,0.000037,0.000006,0.000003,0.000013,0.000018,0.000001,0.000002,0.000003,0.000002,0.000001,0.000002,0.000003,0.000002,0.000003,0.000003,0.000004,0.000003,0.000004,0.000004,0.000004,0.000003,0.000004,0.000004,0.000003,0.000004,0.000004,0.000004,0.000004,0.000002,0.000111,0.000002,0.000047,0.000006,0.000135,0.000087,0.000001,0.000002,0.000004,0.000002,0.000008,0.000003,0.000002,0.000002,0.000001,0.000004,0.000002,0.000006,0.000002,0.000007,0.000003,0.000003,0.000023,0.000002,0.000005,0.000064,0.000005,0.000019,0.000056,0.000006,0.000514,0.000077,0.000122,0.000005,0.000314,0.00055,0.000127,0.000007,0.000037,0.000004,0.000004,0.001166,0.002917,0.00001,0.001305,0.000359,0.000029,0.00001
"林業",0.000421,0.000626,0.000102,1.146326,0.0005,0.0004,0.000207,0.000826,0.00016,0.000699,0.000032,0.000097,0.000132,0.128452,0.010803,0.003169,0.00091,0.000472,0.000081,0.000121,0.000017,0.000077,0.000061,0.000127,0.000095,0.000234,0.000006,0.000027,0.0001,0.000073,0.000495,0.000659,0.000085,0.001657,0.00037,0.000041,0.000061,0.000122,0.000058,0.000032,0.000239,0.000221,0.000125,0.000079,0.000079,0.000245,0.000084,0.000179,0.000121,0.00013,0.00009,0.000105,0.000115,0.000101,0.000102,0.000151,0.000118,0.000539,0.000185,0.003295,0.000052,0.006043,0.001886,0.000337,0.000583,0.000127,0.000076,0.000136,0.00007,0.00012,0.000078,0.000036,0.000049,0.000027,0.0001,0.000051,0.000176,0.000084,0.000247,0.000077,0.000162,0.000898,0.000036,0.000089,0.000147,0.000114,0.000133,0.000321,0.000067,0.000159,0.000146,0.000078,0.000119,0.000282,0.000354,0.000243,0.000062,0.000158,0.000073,0.000085,0.001323,0.002181,0.000102,0.000166,0.000302,0.001036,0.000074
"漁業",0.000138,0.00374,0.00024,0.000982,1.02895,0.000004,0.000009,0.043725,0.002625,0.009256,0.000011,0.000036,0.000015,0.000191,0.000033,0.000219,0.000065,0.000042,0.000071,0.000024,0.000005,0.000171,0.000056,0.000049,0.000455,0.000355,0.000001,0.000005,0.000018,0.000025,0.000061,0.000019,0.000007,0.000043,0.000067,0.000002,0.000003,0.000006,0.000003,0.000002,0.000004,0.000006,0.000005,0.000004,0.000005,0.000009,0.000006,0.000009,0.000007,0.000007,0.000005,0.000008,0.000007,0.000007,0.000009,0.00001,0.000009,0.00001,0.000005,0.000234,0.000003,0.000015,0.000011,0.000007,0.000006,0.000002,0.000003,0.000005,0.000006,0.000004,0.000003,0.000002,0.000002,0.000001,0.000005,0.000004,0.00001,0.000004,0.000015,0.000005,0.000004,0.000056,0.000002,0.000004,0.000011,0.000007,0.000007,0.000026,0.000019,0.000369,0.000047,0.000455,0.000014,0.001164,0.002388,0.00007,0.000005,0.000016,0.000007,0.000005,0.005128,0.01026,0.000013,0.000048,0.000615,0.000075,0.000018
"石炭･原油･天然ガス",0.000208,0.000203,0.000299,0.00014,0.000218,1.000494,0.000452,0.000251,0.000224,0.000166,0.000052,0.000552,0.000333,0.000242,0.000264,0.001129,0.000466,0.000383,0.000625,0.001149,0.000562,0.000596,0.000463,0.000903,0.000226,0.00032,0.00177,0.0003,0.000425,0.0004,0.000175,0.000604,0.000817,0.000591,0.000579,0.000632,0.000791,0.00114,0.000564,0.000375,0.000361,0.000381,0.000402,0.000291,0.00025,0.000227,0.000335,0.000331,0.000242,0.000237,0.000171,0.000268,0.000199,0.000191,0.000323,0.000351,0.000352,0.00041,0.000271,0.000229,0.000329,0.00019,0.000216,0.000194,0.000205,0.006483,0.010253,0.000407,0.00057,0.000226,0.000085,0.000148,0.00007,0.000011,0.000415,0.000164,0.000708,0.000124,0.000349,0.00012,0.000361,0.000125,0.000096,0.000136,0.000142,0.000082,0.00013,0.000195,0.000163,0.000228,0.000164,0.000143,0.000186,0.000241,0.000186,0.000125,0.000077,0.000163,0.000207,0.000085,0.000559,0.000421,0.000355,0.000297,0.000248,0.000395,0.000176
"その他の鉱業",0.00005,0.000119,0.000131,0.00035,-0.00002,0.000135,1.001463,0.000072,0.000218,0.000134,0.000019,0.000063,0.000062,0.000099,0.000403,0.001695,0.00046,0.000263,-0.001776,0.000961,-0.000313,0.00019,0.000042,0.000148,0.00026,0.000293,-0.001245,0.019462,0.000147,0.000186,0.000063,0.019405,0.063211,0.002019,0.032523,-0.001008,-0.000196,0.000777,-0.000097,0.011028,0.003136,0.000377,0.000326,0.000381,0.000271,0.000621,0.000431,0.000562,0.00047,0.000309,0.000276,0.000834,0.000324,0.000241,0.000452,0.000278,0.000302,0.000188,0.000273,0.000645,-0.000006,0.004429,0.003117,0.019688,0.017845,0.000436,0.000076,0.000288,0.000066,0.000025,0.000027,0.000027,0.000044,0.00004,0.000093,-0.000045,-0.000315,-0.000033,-0.00012,0.000001,0.00008,0.000072,0.000002,0.000037,0.000087,0.00003,0.000064,0.000146,0.000054,0.000079,0.000091,0.000065,0.000103,0.000054,0.000037,0.000048,0.000037,0.000073,0.000207,0.000021,0.000011,0.000041,0.000044,0.000075,0.000089,0.0006,0.000355
"食料品",0.002986,0.082345,0.005103,0.025903,0.041721,0.000083,0.000207,1.17819,0.070695,0.195719,0.000267,0.000876,0.000344,0.005065,0.000827,0.00587,0.001747,0.001124,0.000406,0.000613,0.000142,0.004577,0.00148,0.001292,0.008157,0.009544,0.000013,0.000135,0.000478,0.000652,0.001575,0.000475,0.000164,0.001135,0.001794,0.000058,0.000065,0.000137,0.000058,0.000041,0.000096,0.000135,0.000121,0.000105,0.000108,0.000219,0.000148,0.00022,0.000172,0.000176,0.000118,0.000201,0.000169,0.000171,0.000216,0.000248,0.000225,0.000262,0.000119,0.000936,0.00006,0.000386,0.000267,0.000133,0.000129,0.00004,0.000062,0.000114,0.000116,0.000076,0.000071,0.000038,0.000028,0.000012,0.000096,0.000063,0.00017,0.000062,0.000219,0.000081,0.000092,0.000771,0.000044,0.000088,0.000194,0.000128,0.000142,0.000565,0.000326,0.007765,0.000967,0.005461,0.0003,0.012111,0.023733,0.001831,0.00009,0.000309,0.000168,0.0001,0.047706,0.145619,0.000291,0.000368,0.005749,0.001457,0.000393
"飲料",0.000057,0.000532,0.000083,0.000092,0.014012,0.000051,0.000079,0.002951,1.046786,0.000601,0.000052,0.000029,0.000037,0.000062,0.000038,0.000055,0.000042,0.000034,0.000019,0.000028,0.000007,0.000036,0.000024,0.000046,0.000103,0.000056,0.000004,0.000018,0.000028,0.000037,0.000042,0.000048,0.000057,0.00003,0.000056,0.000028,0.000033,0.000064,0.000054,0.000024,0.000041,0.000036,0.000038,0.000049,0.000042,0.000031,0.000021,0.000022,0.000036,0.000028,0.000021,0.000037,0.000025,0.000025,0.000029,0.00003,0.000031,0.000085,0.000044,0.000041,0.000048,0.000082,0.000091,0.000042,0.000054,0.000023,0.000019,0.00005,0.000083,0.000143,0.000026,0.000036,0.000013,0.000004,0.000062,0.000069,0.000115,0.000077,0.000187,0.000041,0.000031,0.000666,0.000018,0.000025,0.000058,0.000021,0.000036,0.00004,0.000043,0.000373,0.000048,0.000689,0.000061,0.001553,0.003015,0.000041,0.000035,0.000039,0.000034,0.000031,0.025192,0.076001,0.000043,0.000026,0.00157,0.000064,0.003235
"飼料･有機質肥料(別掲を除く。)",0.01262,0.361027,0.023856,0.011692,0.050705,0.000008,0.000013,0.042548,0.002763,1.05291,0.00023,0.000103,0.000037,0.001391,0.000135,0.000249,0.000077,0.000049,0.00063,0.000029,0.000006,0.000173,0.000059,0.000053,0.000316,0.000353,0.000001,0.000004,0.000022,0.000028,0.000202,0.000026,0.000009,0.000059,0.000071,0.000002,0.000004,0.000008,0.000005,0.000003,0.000008,0.00001,0.000008,0.000007,0.000007,0.000013,0.000009,0.000012,0.00001,0.000011,0.000008,0.000011,0.00001,0.00001,0.000012,0.000013,0.000013,0.000018,0.000008,0.000101,0.000004,0.000082,0.000031,0.000169,0.000031,0.000004,0.000005,0.000008,0.000006,0.000028,0.000005,0.000003,0.000003,0.000001,0.000007,0.000004,0.000014,0.000005,0.000015,0.000006,0.000006,0.000053,0.000003,0.000008,0.000066,0.000009,0.000023,0.00007,0.000016,0.000707,0.004113,0.000304,0.000014,0.000723,0.001349,0.000096,0.000007,0.000044,0.00001,0.000007,0.002722,0.007945,0.000016,0.001234,0.000376,0.000075,0.00002
