"Date","付加価値額生産(2015=100.0):財別:前月比","出荷(2015=100.0):財別:前月比","在庫(2015=100.0):財別:前月比","在庫率(2015=100.0):財別:前月比"
"13年01月",,,,
"13年02月",1.8,0.7,-0.6,-0.6
"13年03月",1.2,2,-1.1,-2.5
"13年04月",0,-0.4,-0.4,-1.4
"13年05月",1.6,1.5,-1.1,-1.8
"13年06月",-1.1,-0.6,-1,0.9
"13年07月",1.6,0.9,0.3,-1.2
"13年08月",0.2,0.5,-1.1,-1.5
"13年09月",1,0.1,0.9,0.4
"13年10月",0.2,0.5,0.7,-0.4
"13年11月",0.6,1.5,-2.2,-3.1
"13年12月",0,-0.7,1.4,1.8
"14年01月",2,1.5,0.4,-0.6
"14年02月",-1.1,-1.1,-0.3,1.5
"14年03月",1.5,2.3,-1.8,-4.4
"14年04月",-4.4,-6,1.2,7.4
"14年05月",2.3,1.8,2.4,1.8
"14年06月",-1.6,-1.3,1.1,2.4
"14年07月",-0.2,0.4,0.6,-1.2
"14年08月",-0.6,-1,1.1,1.8
"14年09月",1.2,1.8,0.1,-1
"14年10月",-0.3,0,-0.3,0.1
"14年11月",0,-0.6,1,1.2
"14年12月",-0.5,-0.3,0.2,0.7
"15年01月",3,3.1,-0.1,-2.1
"15年02月",-3,-3.3,-0.5,1.5
"15年03月",-0.5,-0.4,-1.7,0.2
"15年04月",0.2,0.1,-0.1,-1.8
"15年05月",0,0.5,-0.9,-0.6
"15年06月",0.9,-0.1,-0.2,0.5
"15年07月",-0.1,-0.1,0.4,0.8
"15年08月",-1.7,-0.3,-0.3,1
"15年09月",2,1,0.3,-1.5
"15年10月",0.1,0.1,-0.3,-1.3
"15年11月",-0.8,-1.8,0.9,3.2
"15年12月",-1.4,-0.6,0.1,1.4
"16年01月",1.6,1.5,-0.4,-1.7
"16年02月",-0.9,-0.4,-0.2,-1.1
"16年03月",0.5,-0.5,0.9,1.7
"16年04月",-0.4,0,-0.8,0.5
"16年05月",-0.8,-0.2,-0.1,1.4
"16年06月",0.7,0.1,0.6,-0.7
"16年07月",0.6,0.5,-1,-0.6
"16年08月",0.7,0.5,0.7,-0.9
"16年09月",0.2,0.5,0.2,0.6
"16年10月",0.3,0.4,-2,-2.3
"16年11月",1,1.5,-1.6,-2.7
"16年12月",0,-0.7,0.6,1.2
"17年01月",-1.1,-1,0.1,2
"17年02月",0.7,0,0.7,0.4
"17年03月",-0.1,0.5,1.1,0.1
"17年04月",2.6,1.7,1.1,0.4
"17年05月",-1.7,-1.4,-0.2,-0.6
"17年06月",1,1.6,-0.8,-0.4
"17年07月",-0.8,-0.8,-0.5,0.3
"17年08月",1.5,1.6,0.1,-2
"17年09月",-1,-2.2,0.5,2.5
"17年10月",0.3,-0.9,2.9,4.4
"17年11月",0.9,3,-1.2,-3.3
"17年12月",1.5,1.8,0.3,-0.2
"18年01月",-4.2,-4.5,-0.3,3.4
"18年02月",2.6,1.8,0.2,-1.2
"18年03月",1.1,1,2.6,1.5
"18年04月",-0.6,0.9,-1.1,-2
"18年05月",0.3,-1.1,0.2,2
"18年06月",-1,0.1,-1.1,-0.7
"18年07月",0.1,-1.2,0.3,1.2
"18年08月",-0.2,0.9,-0.1,-1
"18年09月",-0.1,-0.9,0.2,0.8
"18年10月",2,2.3,-0.5,-0.1
"18年11月",-0.9,-1.5,0.1,-0.6
"18年12月",0.1,0.3,1.3,2.6
"19年01月",-2.3,-1.8,-0.3,-1.7
"19年02月",1,1.2,0.1,0.1
"19年03月",-0.5,-1.1,0.7,1.1
"19年04月",-0.1,0.7,0,-1
"19年05月",1.5,0.8,0.4,1.3
"19年06月",-2.6,-3.2,0.6,2.2
"19年07月",0.7,2.5,-0.1,-0.8
"19年08月",-1.7,-2,-0.1,2
"19年09月",1.9,1.8,-0.9,-1.7
"19年10月",-4,-3.5,0.8,4
"19年11月",-0.6,-1.4,-0.5,1.7
"19年12月",0.2,0.2,0.4,0.5
"20年01月",1.9,0.9,2.1,-0.3
"20年02月",-0.3,1,-1.7,-2.3
"20年03月",-3.7,-5.8,1.9,8.4
"20年04月",-9.8,-9.5,-0.3,13.6
"20年05月",-8.9,-8.9,-2.6,7.3
"鉱工業指数:総合季節調整済指数【月次】 Source:経済産業省",,,,
"鉱工業指数(季節調整済指数)",,,,
