"Date","総合(ウエイト=10000)","生鮮食品を除く総合(ウエイト=9586)","食料(酒類を除く)及びエネルギーを除く総合(ウエイト=6713)","生鮮食品及びエネルギーを除く総合(ウエイト=8802)"
"71年01月",6.5,6.1,6.5,6.5
"71年02月",6,6.1,6.1,6.2
"71年03月",5.3,6.3,6.1,6.2
"71年04月",5.8,6.6,7,6.8
"71年05月",6.4,7.3,7.3,7.3
"71年06月",6.9,7.6,7.7,7.6
"71年07月",6.9,7.3,7.6,7.5
"71年08月",7,7.1,6.9,7.1
"71年09月",8,7,6.7,7.1
"71年10月",6.5,6.3,6.2,6.4
"71年11月",5.5,6,5.9,6
"71年12月",4.8,5.5,5.7,5.7
"72年01月",4.1,5.2,5.4,5.3
"72年02月",4.5,5.8,6,5.7
"72年03月",5.3,5.7,6,6
"72年04月",5,5.4,5.3,5.5
"72年05月",5.2,4.9,5.2,5.3
"72年06月",4.8,4.9,5.1,5.1
"72年07月",5,5.1,5.5,5.2
"72年08月",5.9,5.2,5.9,5.5
"72年09月",3.9,4.8,5.6,5.1
"72年10月",4.4,5.5,6,5.9
"72年11月",5.1,5.7,6.1,6.1
"72年12月",5.7,6,6.2,6.3
"73年01月",6.7,6.5,6.9,6.9
"73年02月",7,7.2,6.6,7.5
"73年03月",8.7,8.5,7.9,8.8
"73年04月",9.4,9.3,8.7,9.5
"73年05月",10.8,10.4,9.8,10.4
"73年06月",11,10.9,10.7,11.1
"73年07月",11.7,11.4,11.2,11.8
"73年08月",11.9,11.8,11.7,12.2
"73年09月",14.2,13.4,13.1,13.7
"73年10月",13.9,13.5,13.1,13.7
"73年11月",15.2,14.9,14.1,15
"73年12月",18.3,17.6,16.1,17.4
"74年01月",21.9,21,17.9,20.6
"74年02月",24.9,22.8,20.6,22.9
"74年03月",22.8,21.7,19.9,21.8
"74年04月",23.7,22,19.7,21.9
"74年05月",22,22.2,19.9,22.2
"74年06月",22.3,22.3,19.1,21.5
"74年07月",23.8,23.1,20,22.2
"74年08月",23.9,23,19.4,22
"74年09月",22.5,22.2,18.5,21.2
"74年10月",24.8,24.7,20.3,23.9
"74年11月",24.5,24.2,19.6,23.1
"74年12月",21,21.1,17.3,20.6
"75年01月",16.8,17.8,15.2,17.1
"75年02月",13.6,14.9,12.3,14.1
"75年03月",13.9,14.7,11.6,13.8
"75年04月",13.4,14.7,12.7,14.1
"75年05月",14,13.3,11.9,13
"75年06月",13.4,12.7,11.7,13
"75年07月",11.4,11.7,10.4,11.9
"75年08月",10.2,10.8,10.1,11.3
"75年09月",10.4,11.3,9.7,11.5
"75年10月",9.7,8.4,8.1,8.8
"75年11月",8.3,7.5,7.9,8.2
"75年12月",7.8,7.4,8,7.9
"76年01月",8.7,8.1,8.7,8.5
"76年02月",9.3,8.5,9.1,8.8
"76年03月",8.7,8.4,9.4,8.7
"76年04月",9.4,8.5,9.2,8.8
"76年05月",9.2,8.7,9.3,9
"76年06月",9.6,8.8,10,9.4
"76年07月",9.9,8.9,9.8,9.2
"76年08月",9.4,9.2,9.8,9.1
"76年09月",9.8,9,9.9,8.9
"76年10月",8.7,9,9.9,8.8
"76年11月",9.2,9.3,10.6,9.1
"76年12月",10.5,10.6,12.1,10.3
"77年01月",9.4,9.4,10.3,9.1
"77年02月",9.3,8.9,9.9,8.7
"77年03月",9.5,8.8,9.7,8.6
"77年04月",8.8,8.6,9.6,8.4
"77年05月",9.4,8.9,10,8.7
"77年06月",8.6,8.6,9,8.2
"77年07月",7.7,8.3,9,8.3
"77年08月",8.6,8.1,9.1,8.3
"77年09月",7.7,7.6,8.6,7.9
"77年10月",7.6,7.6,8.5,7.9
"77年11月",6.5,7,7.6,7.3
"77年12月",5,5.7,5.8,6.1
"78年01月",4.5,5.4,5.7,5.8
"78年02月",4.5,5.6,6.1,6
"78年03月",4.8,5.7,6.4,6
"78年04月",4.2,5,5.3,5.3
"78年05月",3.9,4.7,5.2,5.1
"78年06月",3.9,4.3,5.1,4.9
"78年07月",4.6,4.3,5.3,4.8
"78年08月",4.6,4.2,5.1,4.6
"78年09月",4.1,3.8,5.2,4.3
"78年10月",3.7,3.4,5.2,4.2
"78年11月",3.8,3.3,5.2,4.1
"78年12月",3.9,3.4,5.5,4.2
"79年01月",3.6,3.3,5.2,4.1
"79年02月",2.8,2.9,4.6,3.6
"79年03月",2.7,2.9,4.6,3.5
"79年04月",2.9,3,4.2,3.3
"79年05月",3.2,3.1,4.2,3.3
"79年06月",3.8,3.6,4.4,3.4
"79年07月",4.3,3.6,4.2,3.3
"79年08月",3.1,3.7,4,3.2
"79年09月",3.2,4.1,4.2,3.4
"79年10月",4.2,4.3,4.3,3.3
"79年11月",5,4.5,4.4,3.6
"79年12月",5.6,4.9,4.3,3.6
"80年01月",6.4,5.3,4.7,3.8
"80年02月",7.7,5.8,4.9,4.1
"80年03月",7.7,6.2,5,4.6
"80年04月",8.1,7.6,5.8,5.4
"80年05月",8,8.4,6.7,6.2
"80年06月",8.2,8.5,7.3,6.5
"80年07月",7.5,8.4,7.3,6.7
"80年08月",8.4,8.2,7.5,6.9
"80年09月",8.7,8,7.2,6.6
"80年10月",7.5,8.2,7.1,6.9
"80年11月",8,8.3,7.1,6.9
"80年12月",6.9,7.8,6.9,6.7
"81年01月",7.2,7.4,6,6.3
"81年02月",6.3,6.8,5.9,6.1
"81年03月",6.1,6.3,5.6,5.6
"81年04月",5,4.5,5.2,5.2
"81年05月",5,4.5,4.8,4.7
"81年06月",4.8,4.3,4.5,4.5
"81年07月",4.4,3.8,4,4.2
"81年08月",4.2,4.2,4,4.1
"81年09月",4,4.2,4.2,4.2
"81年10月",4.2,4,4,4
"81年11月",3.8,4,3.9,3.9
"81年12月",4.3,4,3.9,3.9
"82年01月",3.3,3.6,3.6,3.5
"82年02月",3.2,3.6,3.5,3.4
"82年03月",3,3.5,3.5,3.3
"82年04月",3,3.5,3.4,3.2
"82年05月",2.5,3.1,3,3.1
"82年06月",2.3,2.9,2.9,2.9
"82年07月",1.9,3,2.9,2.8
"82年08月",3.2,2.9,3.1,2.9
