"Date","外貨準備(単位:兆ドル)","外貨準備:外貨(単位:兆ドル)","外貨準備:外貨:(a)証券(単位:兆ドル)"
"00年04月",0.3386,0.3241,0.2524
"00年05月",0.3411,0.3267,0.2559
"00年06月",0.3448,0.3299,0.2614
"00年07月",0.3449,0.3304,0.2625
"00年08月",0.3449,0.3307,0.2654
"00年09月",0.3489,0.335,0.2671
"00年10月",0.3491,0.3355,0.2689
"00年11月",0.3546,0.3408,0.2733
"00年12月",0.3616,0.3472,0.2795
"01年01月",0.3642,0.3499,0.2819
"01年02月",0.3637,0.3494,0.2823
"01年03月",0.3615,0.3478,0.282
"01年04月",0.3626,0.3489,0.2833
"01年05月",0.3619,0.3479,0.2821
"01年06月",0.3627,0.3486,0.2848
"01年07月",0.3677,0.3535,0.2883
"01年08月",0.3722,0.3576,0.2908
"01年09月",0.397,0.3807,0.3028
"01年10月",0.4057,0.39,0.3204
"01年11月",0.4039,0.3886,0.3243
"01年12月",0.402,0.3877,0.3229
"02年01月",0.4009,0.3867,0.3206
"02年02月",0.4035,0.3878,0.3241
"02年03月",0.4015,0.3857,0.3276
"02年04月",0.4067,0.3911,0.3305
"02年05月",0.4197,0.4033,0.3374
"02年06月",0.4462,0.4288,0.3634
"02年07月",0.4531,0.4362,0.3697
"02年08月",0.4561,0.439,0.3718
"02年09月",0.4607,0.4431,0.3758
"02年10月",0.461,0.4436,0.3758
"02年11月",0.4605,0.4431,0.3787
"02年12月",0.4697,0.4515,0.3877
"03年01月",0.4786,0.4598,0.3923
"03年02月",0.4853,0.4671,0.3986
"03年03月",0.4962,0.4778,0.4095
"03年04月",0.4994,0.481,0.4093
"03年05月",0.5431,0.5238,0.4418
"03年06月",0.5456,0.5266,0.4436
"03年07月",0.5568,0.5377,0.4422
"03年08月",0.5551,0.5355,0.4434
"03年09月",0.6049,0.5841,0.4672
"03年10月",0.6263,0.6057,0.4839
"03年11月",0.6446,0.6238,0.5052
"03年12月",0.6735,0.6528,0.526
"04年01月",0.7412,0.7209,0.5564
"04年02月",0.7769,0.7566,0.5842
"04年03月",0.8266,0.806,0.6258
"04年04月",0.815,0.7955,0.6237
"04年05月",0.8168,0.7971,0.6378
"04年06月",0.818,0.7986,0.6581
"04年07月",0.8192,0.8001,0.6618
"04年08月",0.828,0.8084,0.6867
"04年09月",0.831,0.8112,0.6886
"04年10月",0.8379,0.8177,0.6964
"04年11月",0.8401,0.8191,0.6963
"04年12月",0.8445,0.8243,0.6994
"05年01月",0.841,0.8212,0.697
"05年02月",0.8406,0.8205,0.6966
"05年03月",0.8377,0.8186,0.6961
"05年04月",0.8436,0.8242,0.7023
"05年05月",0.8425,0.8239,0.7007
"05年06月",0.8435,0.825,0.7036
"05年07月",0.8394,0.8217,0.7001
"05年08月",0.8478,0.8299,0.7074
"05年09月",0.8436,0.8249,0.7033
"05年10月",0.8418,0.8232,0.7004
"05年11月",0.8433,0.8243,0.7021
"05年12月",0.8469,0.8288,0.7063
"06年01月",0.8517,0.8328,0.7106
"06年02月",0.8501,0.8316,0.7102
"06年03月",0.852,0.8326,0.7102
"06年04月",0.8602,0.8392,0.7175
"06年05月",0.8641,0.8428,0.7194
"06年06月",0.8649,0.844,0.7221
"06年07月",0.8719,0.8506,0.7274
"06年08月",0.8787,0.8579,0.7355
"06年09月",0.8813,0.8611,0.7379
"06年10月",0.8856,0.8656,0.7409
"06年11月",0.8969,0.8759,0.751
"06年12月",0.8953,0.8746,0.7493
"07年01月",0.8954,0.8745,0.749
"07年02月",0.905,0.884,0.7582
"07年03月",0.909,0.888,0.7623
"07年04月",0.9156,0.8943,0.7686
"07年05月",0.9111,0.8901,0.7652
"07年06月",0.9136,0.8928,0.7684
"07年07月",0.9237,0.9025,0.7786
"07年08月",0.9322,0.9109,0.7856
"07年09月",0.9456,0.9225,0.797
"07年10月",0.9545,0.9303,0.8048
"07年11月",0.9702,0.9461,0.8209
"07年12月",0.9734,0.948,0.8235
"08年01月",0.996,0.9685,0.8445
"08年02月",1.008,0.9792,0.8568
"08年03月",1.0156,0.9877,0.867
"08年04月",1.0038,0.9775,0.8588
"08年05月",0.997,0.97,0.8535
"08年06月",1.0015,0.9735,0.8592
"08年07月",1.0047,0.9769,0.8653
"08年08月",0.9967,0.9713,0.8623
"08年09月",0.9959,0.9692,0.8642
"08年10月",0.9777,0.9551,0.853
"08年11月",1.0029,0.9769,0.8788
"08年12月",1.0306,1.0033,0.908
"09年01月",1.011,0.9825,0.8908
"09年02月",1.0094,0.9801,0.8923
"09年03月",1.0185,0.9897,0.9055
"09年04月",1.0115,0.9832,0.9025
"09年05月",1.024,0.9925,0.9153
"09年06月",1.0192,0.9885,0.9145
"09年07月",1.0227,0.9919,0.9213
"09年08月",1.0423,0.9957,0.9287
"09年09月",1.0526,1.0022,0.9386
"09年10月",1.0568,1.0052,0.9461
"09年11月",1.0737,1.0184,0.9629
"09年12月",1.0494,0.9966,0.9451
"10年01月",1.0531,1.0011,0.9537
"10年02月",1.0511,0.9987,0.9559
"10年03月",1.0427,0.9905,0.9528
"10年04月",1.0469,0.9932,0.9602
"10年05月",1.0413,0.9876,0.96
"10年06月",1.0502,0.9957,0.972
"10年07月",1.0635,1.0098,0.9878
"10年08月",1.0701,1.0147,0.9938
"10年09月",1.1096,1.0515,1.0317
"10年10月",1.1181,1.0589,1.0412
"10年11月",1.101,1.0417,1.0264
"10年12月",1.0962,1.0358,1.022
"11年01月",1.093,1.0343,1.0206
"11年02月",1.0915,1.0305,1.0184
"11年03月",1.116,1.0414,1.0276
"11年04月",1.1355,1.0577,1.0448
"11年05月",1.1395,1.0623,1.0493
"11年06月",1.1378,1.0615,1.0486
"11年07月",1.1509,1.0715,1.0595
"11年08月",1.2185,1.1352,1.1069
"11年09月",1.2006,1.1229,1.1037
"11年10月",1.2099,1.1291,1.1158
"11年11月",1.3048,1.2248,1.1795
"11年12月",1.2958,1.2208,1.181
"12年01月",1.3067,1.226,1.1981
"12年02月",1.3029,1.222,1.2005
"12年03月",1.2887,1.2105,1.1933
"12年04月",1.2895,1.2109,1.1981
"12年05月",1.2777,1.204,1.1915
"12年06月",1.2705,1.1956,1.1832
"12年07月",1.2728,1.1974,1.1835
"12年08月",1.2732,1.1983,1.1843
"12年09月",1.277,1.1981,1.1838
"12年10月",1.2742,1.1968,1.182
"12年11月",1.2708,1.1947,1.1795
"12年12月",1.2681,1.1931,1.1778
"13年01月",1.2673,1.1916,1.1753
"13年02月",1.2588,1.1866,1.1694
"13年03月",1.2544,1.1818,1.1639
"13年04月",1.258,1.1885,1.17
"13年05月",1.2502,1.1829,1.1632
"13年06月",1.2387,1.1759,1.1575
"13年07月",1.254,1.1876,1.1687
"13年08月",1.2542,1.1858,1.167
"13年09月",1.2734,1.2063,1.189
"13年10月",1.2768,1.2098,1.1926
"13年11月",1.2754,1.2098,1.1926
"13年12月",1.2668,1.2024,1.1858
"14年01月",1.2771,1.2115,1.195
"14年02月",1.2882,1.2211,1.2047
"14年03月",1.2793,1.2129,1.1975
"14年04月",1.2828,1.2168,1.2005
"14年05月",1.2839,1.2193,1.203
"14年06月",1.2839,1.216,1.2017
"14年07月",1.276,1.2095,1.1937
"14年08月",1.278,1.212,1.1968
"14年09月",1.2644,1.2011,1.1876
"14年10月",1.2659,1.2042,1.1907
"14年11月",1.2691,1.2075,1.1941
"14年12月",1.2605,1.1997,1.1794
"15年01月",1.2611,1.1998,1.1676
"15年02月",1.2511,1.1916,1.1432
"15年03月",1.2453,1.1879,1.1245
"15年04月",1.2501,1.1924,1.1295
"15年05月",1.2458,1.1882,1.1255
"15年06月",1.2429,1.1859,1.1232
"15年07月",1.2423,1.1875,1.1248
"15年08月",1.2441,1.1878,1.1191
"15年09月",1.2489,1.1929,1.1149
"15年10月",1.2442,1.1878,1.094
"15年11月",1.233,1.1791,1.0762
"15年12月",1.2332,1.179,1.0642
"16年01月",1.2481,1.1928,1.0676
"16年02月",1.2541,1.1937,1.0685
"16年03月",1.2621,1.2012,1.0761
"16年04月",1.2625,1.2004,1.0754
"16年05月",1.254,1.194,1.0693
"16年06月",1.2654,1.2027,1.0776
"16年07月",1.2648,1.2018,1.0763
"16年08月",1.2561,1.1933,1.0669
"16年09月",1.2601,1.1962,1.0682
"16年10月",1.2428,1.1804,1.0545
"16年11月",1.2193,1.1593,1.0319
"16年12月",1.2169,1.1578,1.0319
"17年01月",1.2316,1.1708,1.0438
"17年02月",1.2323,1.1707,1.0428
"17年03月",1.2303,1.1689,1.043
"17年04月",1.2423,1.18,1.0529
"17年05月",1.2519,1.1894,1.0615
"17年06月",1.2498,1.1881,1.0622
"17年07月",1.26,1.1976,1.075
"17年08月",1.268,1.2042,1.0815
"17年09月",1.2663,1.2032,1.0808
"17年10月",1.2609,1.1985,1.076
"17年11月",1.2612,1.1989,1.0764
"17年12月",1.2643,1.2021,1.0795
"18年01月",1.2685,1.2047,1.0822
"18年02月",1.2617,1.1989,1.076
"18年03月",1.2683,1.2051,1.0807
"18年04月",1.256,1.1935,1.0686
"18年05月",1.2545,1.1926,1.0634
"18年06月",1.2587,1.1975,1.0684
"18年07月",1.2563,1.1958,1.0672
"18年08月",1.2593,1.1993,1.0673
"18年09月",1.2597,1.2002,1.0677
"18年10月",1.2529,1.1926,1.0599
"18年11月",1.2583,1.1978,1.066
"18年12月",1.271,1.209,1.0778
"19年01月",1.2793,1.2161,1.0848
"19年02月",1.2818,1.2188,1.087
"19年03月",1.2918,1.2294,1.0984
"19年04月",1.2935,1.2299,1.0981
"19年05月",1.308,1.2442,1.1129
"19年06月",1.3223,1.2559,1.1256
"19年07月",1.3165,1.25,1.1191
"19年08月",1.3316,1.2628,1.1321
"19年09月",1.3226,1.255,1.1243
"19年10月",1.3245,1.2559,1.126
"19年11月",1.3173,1.251,1.1208
"19年12月",1.3238,1.2553,1.125
"20年01月",1.3423,1.2725,1.1434
"20年02月",1.359,1.2887,1.1619
"20年03月",1.3662,1.2962,1.1683
"20年04月",1.3686,1.2948,1.1678
"外貨準備高 Source:財務省",,,
"外貨準備高",,,
