"Date","女:15~64歳:15~24","女:15~64歳:25~34","女:15~64歳:35~44","女:15~64歳:45~54","女:15~64歳:55~64","女:15~64歳","女:総数","男:15~64歳:15~24","男:15~64歳:25~34","男:15~64歳:35~44","男:15~64歳:45~54","男:15~64歳:55~64","男:15~64歳","男:総数"
"70年01月",1.9,1.4,0.8,,,1.2,1.1,2.1,1,0.7,0.6,1.4,1.1,1.1
"70年02月",1.7,1.1,0.6,,,1,1,2.2,1,0.9,0.6,1.6,1.2,1.2
"70年03月",1.7,1,0.6,,,0.9,0.9,1.7,1,0.8,0.8,1.4,1.1,1.1
"70年04月",1.9,1.4,0.8,,,1.1,1,1.9,1.2,0.7,1.1,1.7,1.2,1.2
"70年05月",1.5,1.5,0.7,,,1,1,1.6,1,0.7,0.9,1.8,1.1,1.1
"70年06月",1.5,1.3,0.7,,,1,1,1.7,0.9,0.7,1,2,1.1,1.1
"70年07月",1.8,1.3,0.5,,,1.1,1,2,1,0.9,0.9,2,1.3,1.2
"70年08月",1.8,1.2,1.1,,,1.1,1.1,1.9,1.2,0.8,0.7,1.7,1.3,1.3
"70年09月",2.6,1.3,0.7,,,1.2,1.2,2.3,1.2,0.9,0.3,2.5,1.4,1.3
"70年10月",2.3,1.1,0.5,,,1.2,1.1,2.2,1.1,1.1,0.8,3.1,1.5,1.5
"70年11月",2.3,1.2,1.2,,,1.3,1.3,1.9,1.1,0.9,0.9,2.4,1.3,1.3
"70年12月",1.8,1.2,0.9,,,1.2,1.1,2.6,1,0.8,0.7,1.9,1.3,1.2
"71年01月",1.6,1,0.5,,,1,1,2,1.1,0.9,0.9,1.8,1.3,1.3
"71年02月",2.2,1.6,0.6,,,1.2,1.2,1.9,1,0.9,0.9,1.7,1.2,1.2
"71年03月",2.1,1.3,0.9,,,1.2,1.2,2.1,0.9,0.9,0.8,1.8,1.2,1.2
"71年04月",2,1.2,1,,,1.2,1.2,2.4,0.8,0.9,0.9,1.6,1.3,1.3
