"Date","財務省貿易統計(季節調整値、兆円):貿易収支:財務省","財務省貿易統計(季節調整値、兆円):輸出:Total:財務省","財務省貿易統計(季節調整値、兆円):輸入:Total:財務省"
"2010-06-01",0.397506,5.635901,5.238395
"2010-07-01",0.501096,5.688985,5.187889
"2010-08-01",0.467601,5.643842,5.176241
"2010-09-01",0.473164,5.581432,5.108268
"2010-10-01",0.609496,5.748036,5.13854
"2010-11-01",0.580374,5.745139,5.164765
"2010-12-01",0.667471,5.803928,5.136457
"2011-01-01",0.363546,5.759996,5.39645
"2011-02-01",0.482939,5.754154,5.271215
"2011-03-01",-0.152472,5.147199,5.299671
"2011-04-01",-0.824996,4.920439,5.745435
"2011-05-01",-0.582087,5.159872,5.741959
"2011-06-01",-0.193982,5.511368,5.70535
"2011-07-01",-0.226936,5.658632,5.885568
"2011-08-01",-0.354934,5.661317,6.016251
"2011-09-01",0.023245,5.69066,5.667415
"2011-10-01",-0.408477,5.581473,5.98995
"2011-11-01",-0.417396,5.432189,5.849585
"2011-12-01",-0.458505,5.328135,5.78664
"2012-01-01",-0.451764,5.250281,5.702045
"2012-02-01",-0.1519,5.378673,5.530573
"2012-03-01",-0.61081,5.409393,6.020203
"2012-04-01",-0.546896,5.51,6.056896
"2012-05-01",-0.733869,5.517455,6.251324
"2012-06-01",-0.4465,5.379813,5.826313
"2012-07-01",-0.464308,5.306331,5.770639
"2012-08-01",-0.460643,5.238461,5.699104
"2012-09-01",-1.102774,5.276265,6.379039
"2012-10-01",-0.433338,5.090912,5.52425
"2012-11-01",-0.638208,5.107991,5.746199
"2012-12-01",-0.79126,5.187172,5.978432
"2013-01-01",-0.637896,5.377113,6.015009
"2013-02-01",-1.025244,5.43685,6.462094
"2013-03-01",-0.920932,5.634543,6.555475
"2013-04-01",-0.92608,5.631943,6.558023
"2013-05-01",-0.76654,6.042123,6.808663
"2013-06-01",-0.817268,5.964097,6.781365
"2013-07-01",-0.909596,5.82699,6.736586
"2013-08-01",-0.906267,6.02791,6.934177
"2013-09-01",-1.013678,5.923924,6.937602
"2013-10-01",-1.101555,5.964745,7.0663
"2013-11-01",-1.250008,5.996017,7.246025
"2013-12-01",-1.179141,5.96903,7.148171
"2014-01-01",-1.549826,5.780603,7.330429
"2014-02-01",-1.112291,5.964036,7.076327
"2014-03-01",-1.878472,5.823523,7.701995
"2014-04-01",-1.076055,5.914435,6.99049
"2014-05-01",-0.998158,5.934868,6.933026
"2014-06-01",-1.051531,5.89242,6.943951
"2014-07-01",-0.992546,6.03924,7.031786
"2014-08-01",-0.935947,6.108715,7.044662
"2014-09-01",-0.963936,6.239941,7.203877
"2014-10-01",-0.694534,6.42936,7.123894
"2014-11-01",-0.924412,6.40071,7.325122
"2014-12-01",-0.522194,6.511232,7.033426
"2015-01-01",-0.170413,6.731672,6.902085
"2015-02-01",-0.753472,6.109817,6.863289
"2015-03-01",-0.032932,6.375911,6.408843
"2015-04-01",-0.30144,6.371876,6.673316
"2015-05-01",-0.26976,6.287494,6.557254
"2015-06-01",-0.281542,6.358045,6.639587
"2015-07-01",-0.231368,6.445077,6.676445
"2015-08-01",-0.388428,6.3726,6.761028
"2015-09-01",-0.252368,6.267099,6.519467
"2015-10-01",-0.15114,6.269672,6.420812
"2015-11-01",0.02289,6.142989,6.120099
"2015-12-01",0.064328,5.892019,5.827691
"2016-01-01",0.169109,6.00042,5.831311
"2016-02-01",0.08099,5.666326,5.585336
"2016-03-01",0.321866,5.765024,5.443158
"2016-04-01",0.388083,5.734131,5.346048
"2016-05-01",0.316414,5.727994,5.41158
"2016-06-01",0.376823,5.84222,5.465397
"2016-07-01",0.288128,5.704908,5.41678
"2016-08-01",0.372618,5.643768,5.27115
"2016-09-01",0.435551,5.79109,5.355539
"2016-10-01",0.365002,5.819143,5.454141
"2016-11-01",0.35336,5.913366,5.560006
"2016-12-01",0.297291,6.104718,5.807427
"2017-01-01",0.100073,6.170606,6.070533
"2017-02-01",0.448952,6.512874,6.063922
"2017-03-01",0.154866,6.375001,6.220135
"2017-04-01",-0.028709,6.359297,6.388006
"2017-05-01",0.294276,6.472285,6.178009
"2017-06-01",0.143375,6.416321,6.272946
"2017-07-01",0.317434,6.561162,6.243728
"2017-08-01",0.415373,6.62257,6.207197
"2017-09-01",0.328698,6.642018,6.31332
"2017-10-01",0.405539,6.65255,6.247011
"2017-11-01",0.350251,6.786603,6.436352
"2017-12-01",-0.052797,6.807059,6.859856
"2018-01-01",0.340916,6.755798,6.414882
"2018-02-01",-0.525065,6.589102,7.114167
"2018-03-01",0.024926,6.494869,6.469943
"2018-04-01",0.56707,6.90037,6.3333
"2018-05-01",-0.100717,7.02005,7.120767
"2018-06-01",0.175012,6.910129,6.735117
"2018-07-01",-0.03653,6.878404,6.914934
"2018-08-01",-0.069639,6.976583,7.046222
"2018-09-01",-0.261717,6.767237,7.028954
"2018-10-01",-0.294685,6.99885,7.293535
"2018-11-01",-0.439748,6.738409,7.178157
"2018-12-01",-0.333175,6.580481,6.913656
"2019-01-01",-0.353448,6.154762,6.50821
"2019-02-01",-0.19921,6.450863,6.650073
"2019-03-01",-0.269276,6.470898,6.740174
"2019-04-01",0.023411,6.627591,6.60418
"2019-05-01",-0.382101,6.471203,6.853304
"2019-06-01",0.086647,6.702035,6.615388
"2019-07-01",-0.03321,6.631632,6.664842
"2019-08-01",-0.084081,6.422056,6.506137
"2019-09-01",-0.05851,6.453933,6.512443
"2019-10-01",-0.03922,6.282791,6.322011
"2019-11-01",-0.153251,6.205471,6.358722
"2019-12-01",-0.200714,6.163522,6.364236
"2020-01-01",-0.238185,5.941396,6.179581
"2020-02-01",0.3517,6.078998,5.727298
"2020-03-01",-0.325353,5.782303,6.107656
"2020-04-01",-1.04314,5.121827,6.164967
"2020-05-01",-0.600969,4.823431,5.4244
" Source:財務省",,,
"財務省貿易統計",,,
