"Date","貿易収支","輸出:Total","輸入:Total"
"10年07月",0.5274,5.685,5.1576
"10年08月",0.4758,5.641,5.1652
"10年09月",0.5045,5.5808,5.0763
"10年10月",0.5764,5.7508,5.1744
"10年11月",0.5753,5.7467,5.1714
"10年12月",0.6634,5.8055,5.1421
"11年01月",0.4119,5.7644,5.3525
"11年02月",0.478,5.7561,5.2781
"11年03月",-0.1493,5.145,5.2943
"11年04月",-0.8319,4.9184,5.7503
"11年05月",-0.5912,5.1545,5.7457
"11年06月",-0.2069,5.5143,5.7212
"11年07月",-0.2196,5.657,5.8767
"11年08月",-0.3749,5.6579,6.0328
"11年09月",0.0195,5.6903,5.6708
"11年10月",-0.4032,5.5836,5.9869
"11年11月",-0.4224,5.4349,5.8572
"11年12月",-0.4506,5.3305,5.7811
"12年01月",-0.4534,5.2528,5.7062
"12年02月",-0.1602,5.3802,5.5404
"12年03月",-0.5981,5.4081,6.0062
"12年04月",-0.5015,5.5076,6.0091
"12年05月",-0.7237,5.5122,6.2359
"12年06月",-0.5132,5.3839,5.8971
"12年07月",-0.4682,5.3033,5.7715
"12年08月",-0.4468,5.2369,5.6837
"12年09月",-1.0741,5.278,6.3522
"12年10月",-0.5007,5.0901,5.5908
"12年11月",-0.5976,5.1098,5.7074
"12年12月",-0.7613,5.1893,5.9507
"13年01月",-0.6218,5.3797,6.0015
"13年02月",-1.0353,5.4383,6.4736
"13年03月",-0.9352,5.6351,6.5702
"13年04月",-0.9477,5.6282,6.576
"13年05月",-0.7559,6.0382,6.7941
"13年06月",-0.8049,5.9668,6.7717
"13年07月",-0.9463,5.8236,6.7699
"13年08月",-0.8827,6.0274,6.9101
"13年09月",-0.9909,5.9241,6.9149
"13年10月",-1.1359,5.9651,7.1011
"13年11月",-1.2409,5.9977,7.2386
"13年12月",-1.205,5.9695,7.1745
"14年01月",-1.5362,5.7831,7.3193
"14年02月",-1.1216,5.9658,7.0874
"14年03月",-1.8402,5.8236,7.6638
"14年04月",-1.1072,5.9128,7.02
"14年05月",-0.9673,5.9331,6.9004
"14年06月",-1.0353,5.8913,6.9266
"14年07月",-0.9818,6.0382,7.02
"14年08月",-0.9476,6.11,7.0576
"14年09月",-1.0155,6.2378,7.2533
"14年10月",-0.7246,6.4297,7.1543
"14年11月",-0.8483,6.4032,7.2515
"14年12月",-0.5825,6.5094,7.0919
"15年01月",-0.1402,6.7345,6.8748
"15年02月",-0.7602,6.1119,6.8721
"15年03月",-0.0541,6.3748,6.429
"15年04月",-0.2355,6.3715,6.607
"15年05月",-0.2531,6.2884,6.5415
"15年06月",-0.3349,6.3552,6.6902
"15年07月",-0.2279,6.4446,6.6725
"15年08月",-0.353,6.373,6.726
"15年09月",-0.3018,6.2662,6.568
"15年10月",-0.1718,6.2693,6.4412
"15年11月",0.0705,6.1424,6.0719
"15年12月",0.0541,5.8914,5.8372
"16年01月",0.1777,6.0038,5.8261
"16年02月",0.0824,5.6678,5.5854
"16年03月",0.3272,5.7649,5.4378
"16年04月",0.3684,5.7344,5.366
"16年05月",0.338,5.7272,5.3892
"16年06月",0.4088,5.8422,5.4334
"16年07月",0.2781,5.706,5.4279
"16年08月",0.3263,5.6411,5.3148
"16年09月",0.4344,5.7901,5.3557
"16年10月",0.3591,5.8179,5.4588
"16年11月",0.3239,5.9118,5.5879
"16年12月",0.2981,6.105,5.8069
"17年01月",0.1106,6.1713,6.0606
"17年02月",0.4551,6.5173,6.0622
"17年03月",0.175,6.3769,6.2019
"17年04月",0.0226,6.3629,6.3403
"17年05月",0.302,6.4714,6.1693
"17年06月",0.1195,6.4148,6.2953
"17年07月",0.3429,6.5596,6.2166
"17年08月",0.4028,6.6198,6.217
"17年09月",0.2897,6.6403,6.3505
"17年10月",0.3272,6.6481,6.3209
"17年11月",0.406,6.786,6.38
"17年12月",-0.0668,6.8091,6.8759
"18年01月",0.3374,6.7556,6.4182
"18年02月",-0.5155,6.5948,7.1103
"18年03月",0.0771,6.4992,6.4221
"18年04月",0.6176,6.9046,6.287
"18年05月",-0.0393,7.0235,7.0628
"18年06月",0.0812,6.9067,6.8256
"18年07月",-0.0754,6.8723,6.9477
"18年08月",-0.0986,6.9719,7.0705
"18年09月",-0.2302,6.7658,6.996
"18年10月",-0.4154,6.9919,7.4073
"18年11月",-0.4302,6.7371,7.1673
"18年12月",-0.2816,6.5816,6.8632
"19年01月",-0.2968,6.1573,6.4541
"19年02月",-0.191,6.4569,6.648
"19年03月",-0.2259,6.4787,6.7046
"19年04月",0.0191,6.6328,6.6137
"19年05月",-0.3337,6.4785,6.8123
"19年06月",0.0338,6.6972,6.6634
"19年07月",-0.1082,6.6211,6.7293
"19年08月",-0.104,6.4159,6.5199
"19年09月",-0.0406,6.4486,6.4892
"19年10月",-0.0934,6.2775,6.3709
"19年11月",-0.1736,6.2048,6.3784
"19年12月",-0.1895,6.1634,6.3529
"20年01月",-0.1807,5.9455,6.1262
"20年02月",0.3667,6.0856,5.7189
"20年03月",-0.2921,5.7884,6.0805
"20年04月",-0.9567,5.1309,6.0876
"20年05月",-0.5857,4.8345,5.4202
"20年06月",-0.4239,4.9008,5.3247
"財務省貿易統計(季節調整値、兆円) Source:財務省",,,
"財務省貿易統計",,,
