"Date","大企業/製造業/実績:%ポイント","大企業/製造業/予測:%ポイント","大企業/非製造業/実績:%ポイント","大企業/非製造業/予測:%ポイント","中堅企業/製造業/実績:%ポイント","中堅企業/製造業/予測:%ポイント","中堅企業/非製造業/実績:%ポイント","中堅企業/非製造業/予測:%ポイント","中小企業/製造業/実績:%ポイント","中小企業/製造業/予測:%ポイント","中小企業/非製造業/実績:%ポイント","中小企業/非製造業/予測:%ポイント"
"00年12月期",10,11,-10,-4,2,4,-19,-14,-16,-15,-23,-22
"01年03月期",-5,7,-13,-8,-15,0,-22,-17,-27,-18,-28,-25
"01年06月期",-16,-8,-13,-11,-30,-21,-21,-23,-37,-32,-31,-32
"01年09月期",-33,-14,-17,-11,-43,-29,-27,-21,-47,-39,-37,-35
"01年12月期",-38,-31,-22,-20,-48,-42,-29,-32,-49,-52,-39,-43
"02年03月期",-38,-36,-22,-25,-47,-47,-32,-35,-51,-55,-42,-46
"02年06月期",-18,-27,-16,-21,-28,-38,-26,-31,-41,-51,-37,-46
"02年09月期",-14,-11,-13,-12,-22,-21,-28,-23,-37,-35,-38,-38
"02年12月期",-9,-11,-16,-11,-19,-23,-28,-26,-33,-36,-36,-39
"03年03月期",-10,-10,-14,-15,-18,-24,-28,-29,-29,-36,-36,-41
"03年06月期",-5,-8,-13,-13,-16,-20,-28,-28,-28,-31,-35,-42
"03年09月期",1,-5,-13,-12,-10,-14,-25,-28,-23,-28,-31,-37
"03年12月期",11,3,-9,-8,-1,-8,-21,-22,-13,-19,-28,-30
"04年03月期",12,8,5,-7,5,-5,-7,-20,-3,-15,-20,-29
"04年06月期",22,12,9,7,11,1,-1,-6,2,-3,-18,-21
"04年09月期",26,21,11,11,14,7,-2,-3,5,2,-17,-18
"04年12月期",22,21,11,10,11,10,-4,-2,5,3,-14,-16
"05年03月期",14,15,11,10,6,2,-4,-3,0,-1,-14,-18
"05年06月期",18,14,15,10,8,2,1,-4,2,-2,-12,-15
"05年09月期",19,17,15,14,5,6,0,1,3,1,-11,-13
"05年12月期",21,18,17,16,9,6,1,2,7,4,-7,-12
"06年03月期",20,19,18,17,12,6,3,3,7,6,-9,-9
"06年06月期",21,22,20,19,13,12,4,5,7,9,-6,-8
"06年09月期",24,22,20,21,14,13,5,6,6,7,-8,-9
"06年12月期",25,21,22,21,17,11,4,4,10,7,-6,-9
"07年03月期",23,22,22,20,16,12,5,2,8,5,-6,-10
"07年06月期",23,20,22,23,13,12,8,4,6,7,-7,-10
"07年09月期",23,22,20,23,10,14,4,7,1,4,-10,-10
"07年12月期",19,19,16,21,10,10,2,3,2,3,-12,-11
"08年03月期",11,15,12,15,5,6,-3,-3,-6,-3,-15,-17
"08年06月期",5,7,10,13,-2,-1,-5,-6,-10,-9,-20,-21
"08年09月期",-3,4,1,8,-8,-5,-12,-10,-17,-15,-24,-27
"08年12月期",-24,-4,-9,-1,-24,-12,-21,-17,-29,-25,-29,-31
"09年03月期",-58,-36,-31,-14,-57,-45,-37,-32,-57,-48,-42,-42
"09年06月期",-48,-51,-29,-30,-55,-61,-36,-45,-57,-63,-44,-52
"09年09月期",-33,-30,-24,-21,-40,-46,-30,-32,-52,-53,-39,-45
"09年12月期",-24,-21,-22,-17,-30,-35,-29,-28,-40,-44,-35,-40
"10年03月期",-14,-18,-14,-19,-19,-31,-21,-33,-30,-42,-31,-41
"10年06月期",1,-8,-5,-10,-6,-20,-13,-21,-18,-32,-26,-37
"10年09月期",8,3,2,-4,4,-8,-8,-14,-14,-19,-21,-29
"10年12月期",5,-1,1,-2,1,-10,-10,-15,-12,-22,-22,-29
"11年03月期",6,-2,3,-1,-4,-12,-6,-17,-10,-23,-19,-29
"11年06月期",-9,2,-5,-1,-12,-8,-17,-12,-21,-16,-26,-27
"11年09月期",2,2,1,-2,-3,-7,-8,-16,-11,-15,-19,-29
"11年12月期",-4,4,4,1,-3,-2,-4,-10,-8,-12,-14,-22
"12年03月期",-4,-5,5,0,-7,-10,-1,-8,-10,-17,-11,-21
"12年06月期",-1,-3,8,5,-6,-8,3,-5,-12,-15,-9,-16
"12年09月期",-3,1,8,6,-6,-7,2,-3,-14,-15,-9,-15
"12年12月期",-12,-3,4,5,-12,-13,-1,-3,-18,-16,-11,-16
"13年03月期",-8,-10,6,3,-14,-20,4,-7,-19,-26,-8,-19
"13年06月期",4,-1,12,9,-4,-13,7,0,-14,-14,-4,-8
"13年09月期",12,10,14,12,0,-3,8,7,-9,-7,-1,-4
"13年12月期",16,11,20,14,6,2,11,7,1,-5,4,-2
"14年03月期",17,14,24,17,12,3,17,10,4,-1,8,1
"14年06月期",12,8,19,13,8,3,10,5,1,-6,2,-4
"14年09月期",13,15,13,19,5,8,7,8,-1,3,0,0
"14年12月期",12,13,16,14,7,5,7,7,1,0,-1,-1
"15年03月期",12,9,19,15,4,1,14,4,1,-5,3,-4
"15年06月期",15,10,23,17,2,3,16,10,0,0,4,-1
"15年09月期",12,16,25,21,5,4,17,14,0,0,3,1
"15年12月期",12,10,25,19,5,4,19,13,0,-2,5,1
"16年03月期",6,7,22,18,5,0,17,12,-4,-4,4,0
"16年06月期",6,3,19,17,1,-2,14,9,-5,-6,0,-3
"16年09月期",6,6,18,17,3,0,15,10,-3,-7,1,-4
"16年12月期",10,6,18,16,6,1,16,10,1,-5,2,-2
"17年03月期",12,8,20,16,11,2,17,9,5,-4,4,-2
"17年06月期",17,11,23,16,12,4,18,10,7,0,7,-1
"17年09月期",22,15,23,18,17,11,19,12,10,6,8,2
"17年12月期",25,19,23,19,19,13,20,14,15,8,9,4
"18年03月期",24,19,23,20,19,14,21,14,15,11,10,5
"18年06月期",21,20,24,20,20,14,20,16,14,12,8,5
"18年09月期",19,21,22,21,15,16,18,16,14,12,10,5
"18年12月期",19,19,24,22,17,13,17,15,14,11,11,5
"19年03月期",12,15,21,20,7,11,18,13,6,8,12,5
"19年06月期",7,8,23,20,5,3,18,12,-1,-2,10,5
"19年09月期",5,7,21,17,2,0,18,11,-4,-5,10,3
"19年12月期",0,2,20,15,1,-1,14,9,-9,-9,7,1
"20年03月期",-8,0,8,18,-8,-4,0,7,-15,-12,-1,1
"20年06月期",-34,-11,-17,-1,-36,-20,-27,-14,-45,-29,-26,-19
"20年09月期",,-27,,-14,,-41,,-29,,-47,,-33
"日銀短観:全国短観・判断項目(業況)(四半期):D.I./業況 Source:日本銀行",,,,,,,,,,,,
"日銀短観業況",,,,,,,,,,,,
