"平成27年(2015年)産業連関表 取引基本表(生産者価格評価)(統合中分類)(単位:100万円)(総務省)","耕種農業","畜産","農業サービス","林業","漁業","石炭･原油･天然ガス","その他の鉱業","食料品","飲料","飼料･有機質肥料(別掲を除く。)","たばこ","繊維工業製品","衣服･その他の繊維既製品","木材･木製品","家具･装備品","パルプ･紙･板紙･加工紙","紙加工品","印刷･製版･製本","化学肥料","無機化学工業製品","石油化学系基礎製品","有機化学工業製品(石油化学系基礎製品･合成樹脂を除く。)","合成樹脂","化学繊維","医薬品","化学最終製品(医薬品を除く。)","石油製品","石炭製品","プラスチック製品","ゴム製品","なめし革･革製品･毛皮","ガラス･ガラス製品","セメント･セメント製品","陶磁器","その他の窯業･土石製品","銑鉄･粗鋼","鋼材","鋳鍛造品(鉄)","その他の鉄鋼製品","非鉄金属製錬･精製","非鉄金属加工製品","建設用･建築用金属製品","その他の金属製品","はん用機械","生産用機械","業務用機械","電子デバイス","その他の電子部品","産業用電気機器","民生用電気機器","電子応用装置･電気計測器","その他の電気機械","通信･映像･音響機器","電子計算機･同附属装置","乗用車","その他の自動車","自動車部品･同附属品","船舶･同修理","その他の輸送機械･同修理","その他の製造工業製品","再生資源回収･加工処理","建築","建設補修","公共事業","その他の土木建設","電力","ガス･熱供給","水道","廃棄物処理","商業","金融･保険","不動産仲介及び賃貸","住宅賃貸料","住宅賃貸料(帰属家賃)","鉄道輸送","道路輸送(自家輸送を除く。)","自家輸送","水運","航空輸送","貨物利用運送","倉庫","運輸附帯サービス","郵便･信書便","通信","放送","情報サービス","インターネット附随サービス","映像･音声･文字情報制作","公務","教育","研究","医療","保健衛生","社会保険･社会福祉","介護","他に分類されない会員制団体","物品賃貸サービス","広告","自動車整備･機械修理","その他の対事業所サービス","宿泊業","飲食サービス","洗濯･理容･美容･浴場業","娯楽サービス","その他の対個人サービス","事務用品","分類不明","内生部門計","家計外消費支出(列)","民間消費支出","一般政府消費支出","一般政府消費支出(社会資本等減耗分)","国内総固定資本形成(公的)","国内総固定資本形成(民間)","在庫純増","国内最終需要計","国内需要合計","輸出","輸出計","最終需要計","需要合計","(控除)輸入","(控除)関税","(控除)輸入品商品税","(控除)輸入計","最終需要部門計","国内生産額"
"耕種農業",212720,291835,6421,1810,0,0,0,2976530,316893,419266,84089,22754,3653,112,0,3167,49,0,0,0,0,556,0,812,29398,3579,0,0,0,156018,0,0,0,0,918,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12677,0,20642,89,28293,12044,0,0,0,0,11343,0,11,3,167,0,0,0,0,0,0,0,1828,0,0,0,0,0,0,1218,45916,0,50363,0,32012,50916,9212,800,0,0,66,56124,641252,384,29099,42079,0,0,5577234,50367,2670607,0,0,0,33372,-23733,2730613,8307847,36782,36782,2767395,8344629,-2141134,-32636,-173817,-2347587,419808,5997042
"畜産",44268,339181,16946,12,0,0,0,2600595,0,1825,0,1978,938,0,0,0,0,0,245,0,0,0,0,0,122,0,0,0,0,0,6212,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,106,5574,28713,6738,0,4856,9160,0,0,0,0,0,9248,164616,0,27,1575,0,0,3243749,0,235702,0,0,0,160052,-5230,390524,3634273,3611,3611,394135,3637884,-53023,-4761,-4613,-62397,331738,3575487
"農業サービス",329390,156508,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8252,0,0,0,0,0,0,0,0,0,0,0,0,0,11360,0,0,0,505531,0,411830,0,0,0,0,0,411830,917361,0,0,411830,917361,0,0,0,0,411830,917361
"林業",1621,0,0,101632,251,42,21,13573,0,265,0,31,0,357553,36,1530,2,0,0,623,0,0,0,0,0,5188,0,0,0,0,1455,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1385,0,345,491,1323,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,1988,0,523,0,1260,2329,0,0,0,0,0,5257,51612,0,0,913,0,0,551670,3108,174150,0,0,0,0,211182,388440,940110,9787,9787,398227,949897,-137099,-1553,-11091,-149743,248484,800154
"漁業",0,0,0,0,64122,0,0,1071819,0,2796,0,3,0,0,0,0,0,0,20,0,0,0,0,0,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,247,2154,0,12048,0,7589,16660,0,0,0,0,0,19669,182487,0,281,3226,0,0,1432241,14509,329542,0,0,0,0,7032,351083,1783324,62427,62427,413510,1845751,-222498,-7361,-18314,-248173,165337,1597578
"石炭･原油･天然ガス",0,96,0,75,0,237,0,8595,1144,757,97,1134,191,12,0,44545,630,0,33518,3882,1291,31756,2400,7118,1305,2642,9071166,759461,324,732,30,6792,51516,8765,10988,60882,41290,1984,32,5591,2211,323,2186,546,476,5,503,1760,575,0,0,173,0,163,711,13,5053,0,168,134,243,20,8,133,56,5801547,1817478,0,11,264,42,78,0,0,154,1,0,3,0,134,17,136,0,0,3,0,0,14,5,115,1617,422,0,43,145,282,623,0,14,19,449,23,607,116,9,0,0,17800809,0,14,0,0,0,0,19041,19055,17819864,91,91,19146,17819955,-15676411,0,-1954610,-17631021,-17611875,188934
"その他の鉱業",0,0,0,239,0,0,1264,76,0,362,0,3,0,3,0,8126,30,0,1598,54548,-62,939,217,0,566,1076,-18500,27900,0,587,16,62227,165725,27599,73183,1263569,0,591,0,1256206,259,349,151,87,466,370,0,0,0,0,0,0,0,0,0,0,0,0,0,4082,0,63737,2947,191776,121733,-215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437,0,0,0,0,0,0,0,0,0,0,0,-249,-791,0,317,640,0,1035,3315219,-5364,-6134,0,0,0,-6516,-20892,-38906,3276313,44984,44984,6078,3321297,-2465108,0,-197208,-2662316,-2656238,658981
"食料品",0,52610,0,14609,55253,0,0,5593338,485878,400758,250,556,7615,3102,0,16620,122,0,55,538,0,17531,201,0,71776,108332,70,0,220,6,20641,182,0,568,2257,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4377,0,0,0,0,0,10,11845,164023,0,184596,0,116008,214842,6238,0,0,0,0,247185,4646144,0,348,43212,0,0,12502334,419426,19805486,0,0,0,0,-27288,20197624,32699958,523413,523413,20721037,33223371,-4727859,-419001,-409352,-5556212,15164825,27667159
"飲料",0,818,35,0,20585,0,0,52039,373820,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,357,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9425,0,0,0,0,0,0,0,0,0,0,0,4648,0,0,0,0,0,5,986,2473,0,22486,0,12779,24066,0,0,0,0,398,119594,2131236,0,5,10981,0,14328,2801114,282661,4518157,0,0,0,0,-21198,4779620,7580734,80297,80297,4859917,7661031,-506406,-30453,-120843,-657702,4202215,7003329
"飼料･有機質肥料(別掲を除く。)",47131,1189364,16902,8118,78742,0,0,-79,0,68716,0,-4,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1513,0,0,0,0,0,4004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7855,70305,1837,0,579,230,0,0,0,0,0,0,0,0,11351,0,0,0,1506716,0,179899,0,0,0,0,6694,186593,1693309,7936,7936,194529,1701245,-177656,-759,-14256,-192671,1858,1508574
