"平成27年(2015年)産業連関表 取引基本表(生産者価格評価)(基本分類)(単位:100万円)(総務省)","米","麦類","いも類","豆類","野菜(露地)","野菜(施設)","果実","砂糖原料作物","飲料用作物","その他の食用耕種作物","飼料作物","種苗","花き･花木類","その他の非食用耕種作物","酪農","肉用牛","豚","鶏卵","肉鶏","その他の畜産","獣医業","農業サービス(獣医業を除く。)","育林","素材","特用林産物(狩猟業を含む。)","海面漁業","海面養殖業","内水面漁業","内水面養殖業","石炭･原油･天然ガス","砂利･採石","砕石","その他の鉱物","食肉","酪農品","その他の畜産食料品","冷凍魚介類","塩･干･くん製品","水産びん･かん詰","ねり製品","その他の水産食料品","精穀","製粉","めん類","パン類","菓子類","農産保存食料品","砂糖","でん粉","ぶどう糖･水あめ･異性化糖","動植物油脂","調味料","冷凍調理食品","レトルト食品","そう菜･すし･弁当","その他の食料品","清酒","ビール類","ウイスキー類","その他の酒類","茶･コーヒー","清涼飲料","製氷","飼料","有機質肥料(別掲を除く。)","たばこ","紡績糸","綿･スフ織物(合繊短繊維織物を含む。)","絹･人絹織物(合繊長繊維織物を含む。)","その他の織物","ニット生地","染色整理","その他の繊維工業製品","織物製衣服","ニット製衣服","その他の衣服･身の回り品","寝具","じゅうたん･床敷物","その他の繊維既製品","製材","合板･集成材","木材チップ","その他の木製品","木製家具","金属製家具","木製建具","その他の家具･装備品","パルプ","洋紙･和紙","板紙","段ボール","塗工紙･建設用加工紙","段ボール箱","その他の紙製容器","紙製衛生材料･用品","その他のパルプ･紙･紙加工品","印刷･製版･製本","化学肥料","ソーダ工業製品","無機顔料","圧縮ガス･液化ガス","塩","その他の無機化学工業製品","石油化学基礎製品","石油化学系芳香族製品","脂肪族中間物","環式中間物･合成染料･有機顔料","合成ゴム","メタン誘導品","可塑剤","その他の有機化学工業製品","熱硬化性樹脂","熱可塑性樹脂","高機能性樹脂","その他の合成樹脂","化学繊維","医薬品","油脂加工製品･界面活性剤","化粧品･歯磨","塗料","印刷インキ","農薬","ゼラチン･接着剤","写真感光材料","その他の化学最終製品","石油製品","石炭製品","舗装材料","プラスチック製品","タイヤ･チューブ","その他のゴム製品","革製履物","なめし革･革製品･毛皮(革製履物を除く。)","板ガラス･安全ガラス","ガラス繊維･同製品","その他のガラス製品","セメント","生コンクリート","セメント製品","陶磁器","耐火物","その他の建設用土石製品","炭素･黒鉛製品","研磨材","その他の窯業･土石製品","銑鉄","フェロアロイ","粗鋼(転炉)","粗鋼(電気炉)","熱間圧延鋼材","鋼管","冷間仕上鋼材","めっき鋼材","鋳鍛鋼","鋳鉄管","鋳鉄品･鍛工品(鉄)","鉄鋼シャースリット業","その他の鉄鋼製品","銅","鉛･亜鉛(再生を含む。)","アルミニウム(再生を含む。)","その他の非鉄金属地金","電線･ケーブル","光ファイバケーブル","伸銅品","アルミ圧延製品","非鉄金属素形材","核燃料","その他の非鉄金属製品","建設用金属製品","建築用金属製品","ガス･石油機器･暖房･調理装置","ボルト･ナット･リベット･スプリング","金属製容器･製缶板金製品","配管工事附属品･粉末や金製品･道具類","その他の金属製品","ボイラ","タービン","原動機","ポンプ･圧縮機","運搬機械","冷凍機･温湿調整装置","ベアリング","その他のはん用機械","農業用機械","建設･鉱山機械","繊維機械","生活関連産業用機械","化学機械","鋳造装置･プラスチック加工機械","金属工作機械","金属加工機械","機械工具","半導体製造装置","金型","真空装置･真空機器","ロボット","その他の生産用機械","複写機","その他の事務用機械","サービス用･娯楽用機器","計測機器","医療用機械器具","光学機械･レンズ","武器","半導体素子","集積回路","液晶パネル","フラットパネル･電子管","記録メディア","電子回路","その他の電子部品","回転電気機械","変圧器･変成器","開閉制御装置･配電盤","配線器具","内燃機関電装品","その他の産業用電気機器","民生用エアコンディショナ","民生用電気機器(エアコンを除く。)","電子応用装置","電気計測器","電球類","電気照明器具","電池","その他の電気機械器具","有線電気通信機器","携帯電話機","無線電気通信機器(携帯電話機を除く。)","ラジオ･テレビ受信機","その他の電気通信機器","ビデオ機器･デジタルカメラ","電気音響機器","パーソナルコンピュータ","電子計算機本体(パソコンを除く。)","電子計算機附属装置","乗用車","トラック･バス･その他の自動車","二輪自動車","自動車用内燃機関","自動車部品","鋼船","その他の船舶","舶用内燃機関","船舶修理","鉄道車両","鉄道車両修理","航空機","航空機修理","自転車","その他の輸送機械","がん具","運動用品","身辺細貨品","時計","楽器","筆記具･文具","畳･わら加工品","情報記録物","その他の製造工業製品","再生資源回収･加工処理","住宅建築(木造)","住宅建築(非木造)","非住宅建築(木造)","非住宅建築(非木造)","建設補修","道路関係公共事業","河川･下水道･その他の公共事業","農林関係公共事業","鉄道軌道建設","電力施設建設","電気通信施設建設","その他の土木建設","事業用火力発電","事業用発電(火力発電を除く。)","自家発電","都市ガス","熱供給業","上水道･簡易水道","工業用水","下水道★★","廃棄物処理(公営)★★","廃棄物処理","卸売","小売","金融","生命保険","損害保険","不動産仲介･管理業","不動産賃貸業","住宅賃貸料","住宅賃貸料(帰属家賃)","鉄道旅客輸送","鉄道貨物輸送","バス","ハイヤー･タクシー","道路貨物輸送(自家輸送を除く。)","自家輸送(旅客自動車)","自家輸送(貨物自動車)","外洋輸送","沿海･内水面輸送","港湾運送","航空輸送","貨物利用運送","倉庫","こん包","道路輸送施設提供","水運施設管理(国公営)★★","水運施設管理","水運附帯サービス","航空施設管理(公営)★★","航空施設管理","航空附帯サービス","旅行･その他の運輸附帯サービス","郵便･信書便","固定電気通信","移動電気通信","電気通信に附帯するサービス","公共放送","民間放送","有線放送","情報サービス","インターネット附随サービス","映像･音声･文字情報制作(新聞･出版を除く。)","新聞","出版","公務(中央)★★","公務(地方)★★","学校教育(国公立)★★","学校教育(私立)★","学校給食(国公立)★★","学校給食(私立)★","社会教育(国公立)★★","社会教育(非営利)★","その他の教育訓練機関(国公立)★★","その他の教育訓練機関","自然科学研究機関(国公立)★★","人文･社会科学研究機関(国公立)★★","自然科学研究機関(非営利)★","人文･社会科学研究機関(非営利)★","自然科学研究機関","人文･社会科学研究機関","企業内研究開発","医療(入院診療)","医療(入院外診療)","医療(歯科診療)","医療(調剤)","医療(その他の医療サービス)","保健衛生(国公立)★★","保健衛生","社会保険事業★★","社会福祉(国公立)★★","社会福祉(非営利)★","社会福祉","保育所","介護(施設サービス)","介護(施設サービスを除く。)","会員制企業団体","対家計民間非営利団体(別掲を除く。)★","物品賃貸業(貸自動車を除く。)","貸自動車業","広告","自動車整備","機械修理","法務･財務･会計サービス","土木建築サービス","労働者派遣サービス","建物サービス","警備業","その他の対事業所サービス","宿泊業","飲食店","持ち帰り･配達飲食サービス","洗濯業","理容業","美容業","浴場業","その他の洗濯･理容･美容･浴場業","映画館","興行場(映画館を除く。)･興行団","競輪･競馬等の競走場･競技団","スポーツ施設提供業･公園･遊園地","遊戯場","その他の娯楽","写真業","冠婚葬祭業","個人教授業","各種修理業(別掲を除く。)","その他の対個人サービス","事務用品","分類不明","内生部門計","家計外消費支出(列)","家計消費支出","対家計民間非営利団体消費支出","中央政府集合的消費支出","地方政府集合的消費支出","中央政府個別的消費支出","地方政府個別的消費支出","中央政府集合的消費支出(社会資本等減耗分)","地方政府集合的消費支出(社会資本等減耗分)","中央政府個別的消費支出(社会資本等減耗分)","地方政府個別的消費支出(社会資本等減耗分)","国内総固定資本形成(公的)","国内総固定資本形成(民間)","生産者製品在庫純増","半製品･仕掛品在庫純増","流通在庫純増","原材料在庫純増","国内最終需要計","国内需要合計","輸出(普通貿易)","輸出(特殊貿易)","輸出(直接購入)","輸出計","最終需要計","需要合計","(控除)輸入(普通貿易)","(控除)輸入(特殊貿易)","(控除)輸入(直接購入)","(控除)関税","(控除)輸入品商品税","(控除)輸入計","最終需要部門計","国内生産額"
"米",18711,0,0,0,0,0,0,0,0,0,0,0,0,0,613,101,808,507,740,0,0,4556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1533286,0,0,0,0,0,0,0,0,0,0,0,0,0,-18388,0,-1876,422,-19842,1513444,453,0,0,453,-19389,1513897,-149,0,0,0,-12,-161,-19550,1513736
"稲わら",719,0,354,281,1481,6891,3415,0,574,0,0,160,6178,201,2252,18483,2108,0,0,493,0,0,3,0,1807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673,0,0,0,0,0,0,0,0,1839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7856,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,180,0,0,0,0,0,0,0,0,0,56493,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,56500,49,0,0,49,56,56549,-8742,0,0,0,-699,-9441,-9385,47108
"小麦",0,3782,0,0,0,0,0,0,0,0,0,0,0,0,0,20,347,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227588,0,0,0,0,0,0,0,0,5038,0,0,0,0,0,0,0,0,0,0,0,10078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5986,-3230,2756,249610,0,0,0,0,2756,249610,-199964,0,0,-16,-15998,-215978,-213222,33632
"大麦",0,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,2678,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6706,32,0,0,0,3,0,0,0,0,1248,0,0,0,3727,0,3985,0,1035,0,1200,0,27731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49614,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-29,255,228,49842,4,0,0,4,232,49846,-35412,0,0,-2,-2833,-38247,-38015,11599
"かんしょ",0,0,2103,0,0,0,0,0,0,0,0,0,0,0,21,1,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,4634,1500,0,4567,0,0,0,2631,0,3487,0,0,0,0,13783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,661,7,0,0,0,0,0,0,0,0,0,0,0,736,0,2,0,3,0,0,0,31,301,43,583,605,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,1638,11310,1552,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,52091,0,49563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49563,101654,414,0,19,433,49996,102087,-465,0,-24,-43,-41,-573,49423,101514
"ばれいしょ",0,0,18201,0,0,0,0,0,0,0,0,0,0,0,32,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3582,23289,536,0,6424,0,0,0,4363,634,3152,901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1553,15,0,0,0,0,0,0,0,0,0,0,0,425,0,2,0,5,0,0,0,46,152,21,566,371,933,0,0,0,0,0,0,0,0,0,0,0,0,0,3104,22644,3338,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,94530,0,44663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44663,139193,5,15,30,50,44713,139243,-1612,-15,-35,-69,-134,-1865,42848,137378
"大豆",0,0,0,3349,0,0,0,0,0,0,0,0,0,0,760,502,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1322,0,0,304,87,0,0,0,140565,14274,0,0,3470,77681,0,0,0,0,0,4169,0,5656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252171,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,111,8464,260635,25,0,0,25,8489,260660,-206246,0,0,-1,-16500,-222747,-214258,37913
"その他の豆類",0,0,0,2200,0,14965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8974,738,0,0,0,574,0,1031,0,4579,26627,0,0,0,0,5,1026,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,2,0,0,0,5,30,5,54,55,105,0,0,0,0,0,0,0,0,0,0,0,0,0,162,6092,617,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,68295,0,2449,0,0,0,0,0,0,0,0,0,0,0,0,0,-38,3,2414,70709,22,22,11,55,2469,70764,-31543,0,-13,-1651,-2656,-35863,-33394,34901
"野菜",0,0,0,0,854,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3145,0,0,282,3769,87,0,0,4050,3563,10768,113455,0,0,0,0,31405,22476,14156,74993,46292,0,0,0,0,0,5145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,0,0,0,0,0,0,0,0,0,0,0,0,0,893,0,0,0,29128,307,0,0,0,0,0,0,0,0,0,0,0,33673,0,140,0,288,0,0,0,710,5582,837,12049,10674,20724,0,1605,0,0,0,0,0,0,0,0,0,0,0,33925,334190,58920,0,0,0,0,0,0,0,0,922,0,0,0,6050,0,0,0,0,0,886493,15288,1598232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1613520,2500013,3374,327,389,4090,1617610,2504103,-100208,-273,-463,-3281,-8279,-112504,1505106,2391599
"果実",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,22,993,0,0,0,1082,15985,24354,0,0,0,0,1257,69,111,6890,77543,0,0,178,6038,0,24534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,677,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,11764,117,0,0,0,0,0,0,0,0,0,0,0,12745,0,54,0,105,0,0,0,349,2867,426,5988,5393,10494,0,3254,0,0,0,0,0,0,0,0,0,0,0,16015,166155,25280,0,0,0,0,0,0,0,0,0,0,0,0,2694,0,0,0,0,0,423695,13909,693186,0,0,0,0,0,0,0,0,0,0,23365,0,0,0,0,730460,1154155,10349,10,65,10424,740884,1164579,-304489,-8,-157,-26284,-26462,-357400,383484,807179
