"Date","消費者態度指数","雇用環境","収入の増え方","耐久消費財の買い時判断","暮らし向き","資産価値"
"82年09月",-1.7,-5.6,-1,-0.3,-0.1,
"82年12月",0,1.7,-1,0.3,-0.7,
"83年03月",1.4,2,1,1.5,0.9,
"83年06月",1.6,3.9,0.6,0.6,1.4,
"83年09月",0.5,0.6,0.5,0.7,0.3,
"83年12月",1.2,2.6,0.5,0.3,1.1,
"84年03月",0.4,1,0.5,0.1,0.3,
"84年06月",0.1,-0.1,-0.1,0.2,0.1,
"84年09月",0.5,1.6,0.1,0.2,0.3,
"84年12月",0.6,0.8,0.4,0.9,0.2,
"85年03月",0.3,0.3,0.1,0,0.7,
"85年06月",-0.7,-1.3,-0.6,0,-0.6,
"85年09月",0.3,0.6,0.2,0,0.2,
"85年12月",-0.5,-1.9,0,-0.1,0,
"86年03月",-0.8,-1.9,-1,0.6,-0.9,
"86年06月",-1.2,-2.5,-0.4,-0.7,-1.1,
"86年09月",-1.9,-4.6,-1.2,-0.6,-1.2,
"86年12月",-1.4,-2.1,-1,-1.1,-1.4,
"87年03月",-1.3,-3.4,-0.4,-0.8,-0.6,
"87年06月",3.3,5.8,2,2.6,2.9,
"87年09月",2.6,6,1.7,0.9,1.7,
"87年12月",1.5,4.1,0.2,0.7,1,
"88年03月",1.5,3.1,0.6,1.7,0.7,
"88年06月",-0.1,1.3,0,-1.6,-0.4,
"88年09月",0.1,1.1,0,-0.4,-0.3,
"88年12月",0.9,1.2,0.9,0.6,1,
"89年03月",-2.1,-0.2,-0.3,-4.4,-3.4,
"89年06月",-1.1,-1.2,-1,-1,-1.2,
"89年09月",1.6,1.7,0.6,1.8,2.1,
"89年12月",1.5,2.1,0.5,1.9,1.7,
"90年03月",-0.7,-1.8,0.6,-1.3,-0.2,
"90年06月",-0.1,0,-0.3,0,-0.2,
"90年09月",-1.3,-1.4,0.1,-2.4,-1.5,
"90年12月",0.4,-0.7,0.2,1.2,0.8,
"91年03月",0.9,0.6,-0.1,1.7,1.5,
"91年06月",-1.2,-3,-0.4,-0.5,-0.8,
"91年09月",-0.6,-1.8,-0.9,0.5,-0.5,-0.5
"91年12月",-2,-4.1,-0.5,-2.3,-1.1,-1
"92年03月",-0.9,-2.4,-0.6,0.5,-0.9,-1.3
"92年06月",-1.4,-3.9,-0.8,-0.9,-0.2,-1.2
"92年09月",-2.4,-5.8,-1.5,-1.2,-0.8,0
"92年12月",-1.3,-2.1,-1.4,-0.5,-1.4,-0.8
"93年03月",-1.1,-3.7,-0.5,-0.2,-0.1,0
"93年06月",3.3,7.7,1.4,2.5,1.7,2.6
"93年09月",-2.8,-5.5,-1.7,-1.6,-2.2,-2.4
"93年12月",-3.1,-6.1,-2.1,-1.7,-2.7,-2.4
"94年03月",4.6,11.1,2,2.8,2.5,4.2
"94年06月",1.8,1.6,1.3,2.1,2.2,0.4
"94年09月",2.5,4.4,1.5,2.3,1.8,0.4
"94年12月",1.6,2,0.8,1.9,1.8,0
"95年03月",-2.1,-4.5,-1.1,-1.4,-1.6,-2
"95年06月",-2.9,-5.6,-1.4,-2.4,-2,-2.5
"95年09月",-0.3,0.5,-0.5,-0.9,-0.3,1.6
"95年12月",2.4,4.3,0.8,2.8,1.7,2
"96年03月",1.1,3.3,0.6,0,0.3,0.2
"96年06月",1,4.6,0.1,-0.5,-0.2,0.8
"96年09月",-0.9,0.4,-0.2,-2.7,-0.9,-1.4
"96年12月",-1.3,-2.3,0,-3.1,0.1,-0.2
"97年03月",-5.5,-2.7,-2,-11.7,-5.6,-1.5
"97年06月",3.5,0.7,0.3,10.6,2.5,0.6
"97年09月",0.5,-0.3,0.3,1.7,0.3,-0.8
"97年12月",-5.6,-13.8,-3.1,-2.7,-2.9,-4.9
"98年03月",0.5,1.2,0,0.4,0.4,2.2
"98年06月",-1.8,-3.5,-1.3,-1.5,-0.8,-2
"98年09月",-1,-1,-1.2,-1.4,-0.6,-0.5
"98年12月",2.1,3.8,-0.3,4.1,0.9,2
"99年03月",2.4,3.8,1.2,2.4,2.2,1.7
"99年06月",-0.3,-1,0.2,-0.5,0,0
"99年09月",1.4,3.6,0.9,0.5,0.8,1.5
"99年12月",1.2,2.1,0.5,1.3,0.9,0
"00年03月",0.8,2,0.4,0.6,0.1,0.8
"00年06月",0.8,3.3,-0.3,0.2,0,-1
"00年09月",0.7,1.8,0.5,0.1,0.4,0.6
"00年12月",-0.4,-2,-0.3,0.8,-0.1,-0.9
"01年03月",-4.4,-7.7,-1.7,-5.6,-2.6,-3.8
"01年06月",0.3,-0.2,0.1,1.2,0.1,1.1
"01年09月",-5,-10.4,-3.3,-2.6,-3.6,-4.8
"01年12月",0,0.7,-0.9,0,0.1,0.8
"02年03月",2.2,5.1,0.9,1.9,1.1,2.6
"02年06月",1.8,4.3,0.9,0.7,1,0.8
"02年09月",-0.9,-1.9,-0.8,-0.2,-0.7,-2
"02年12月",-0.8,-0.9,-0.9,-0.5,-0.7,-0.9
"03年03月",-1.5,-2.1,-0.7,-1.9,-1.5,-1.4
"03年06月",1.1,2.7,0,1,0.8,2.1
"03年09月",3.6,7.6,2.2,2,2.5,4.6
"03年12月",0.7,2.4,-0.4,0.9,0,-0.5
"04年03月",2.5,3.6,2.5,1.6,2.4,2
"04年05月",2.2,2.4,3.1,1.2,1.9,1.5
"04年06月",-3,-3.7,-3.5,-1.5,-3.1,-1
"04年07月",4.4,5.9,4.5,3.2,4,1.7
"04年08月",0.4,0.2,0.4,0.5,0.6,-0.2
"04年09月",-2.9,-3.4,-3.6,-1.9,-2.8,-0.4
"04年10月",2.1,2,3.2,1,2.1,-0.4
